route_candidate_id,route_key,source_case_id,qch_sidecar_id,endpoint_id,target_claim,required_artifact_class,required_fields,minimum_controls,observation_artifact_id,observation_artifact_class,observation_source_artifact,observation_source_sha256,source_geometry_match_level,provided_fields,controls_status,replicate_count,uncertainty_interval_status,pre_registered_rule_status
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,material_surface_identity,wet_surface_transferability,surface_material_metrology_or_process_record,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,matched rectangle or accepted reference surface;process lot traceability,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,ev_sample_panel,ev_panel_representativeness,ev_characterization_panel,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,blank buffer;size/control particle;EV prep provenance,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,adhesion_wall_interaction,adhesion_or_wall_loss,wet_wall_interaction_assay,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,no-EV blank;reference-channel comparison;replicates,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,clogging_time_series,clogging_rate_or_time_to_clog,flow_or_event_time_series,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,blank run;particle-free buffer;repeat run;open-channel baseline,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,recovery_flush,recovery_or_reusable_operation,flush_recovery_protocol_result,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,pre/post baseline;blank/control channel;cycle repeat,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,wet_pass_probability,wet_pass_probability,pre_registered_wet_pass_fail_table,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,pre-registered threshold;negative control;positive/control particle,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-001,route_rectangle_limit_theta90_D900_W500,rectangle_limit_theta90_D900_W500,QCH-CAND-001,yield_bridge,yield,input_output_mass_or_count_balance,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,blank correction;collection efficiency control;mass/count calibration,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,material_surface_identity,wet_surface_transferability,surface_material_metrology_or_process_record,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,matched rectangle or accepted reference surface;process lot traceability,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,ev_sample_panel,ev_panel_representativeness,ev_characterization_panel,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,blank buffer;size/control particle;EV prep provenance,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,adhesion_wall_interaction,adhesion_or_wall_loss,wet_wall_interaction_assay,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,no-EV blank;reference-channel comparison;replicates,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,clogging_time_series,clogging_rate_or_time_to_clog,flow_or_event_time_series,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,blank run;particle-free buffer;repeat run;open-channel baseline,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,recovery_flush,recovery_or_reusable_operation,flush_recovery_protocol_result,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,pre/post baseline;blank/control channel;cycle repeat,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,wet_pass_probability,wet_pass_probability,pre_registered_wet_pass_fail_table,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,pre-registered threshold;negative control;positive/control particle,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
ROUTE-CAND-002,route_taper_theta85_D900_W500,taper_theta85_D900_W500,QCH-CAND-002,yield_bridge,yield,input_output_mass_or_count_balance,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,blank correction;collection efficiency control;mass/count calibration,,,,,sidewall_specific | validated_transfer,,controls_pass | controls_missing,,uncertainty_interval_present | uncertainty_interval_missing,pre_registered | not_required_for_endpoint | missing
