dry_run_id,source_row_id,schema_version,edge20_bin_id,template_only,not_evidence,edge20_hash_status,authorization_status,receiver_dry_run_status,policy_approval_status,formula_use_authorized,jrc_authorized
NODI-G2O-EDGE-DRY-001,G2K-EDGE-TEMPLATE-001,2.0-template,edge_00,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-002,G2K-EDGE-TEMPLATE-002,2.0-template,edge_01,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-003,G2K-EDGE-TEMPLATE-003,2.0-template,edge_02,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-004,G2K-EDGE-TEMPLATE-004,2.0-template,edge_03,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-005,G2K-EDGE-TEMPLATE-005,2.0-template,edge_04,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-006,G2K-EDGE-TEMPLATE-006,2.0-template,edge_05,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-007,G2K-EDGE-TEMPLATE-007,2.0-template,edge_06,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-008,G2K-EDGE-TEMPLATE-008,2.0-template,edge_07,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-009,G2K-EDGE-TEMPLATE-009,2.0-template,edge_08,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-010,G2K-EDGE-TEMPLATE-010,2.0-template,edge_09,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-011,G2K-EDGE-TEMPLATE-011,2.0-template,edge_10,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-012,G2K-EDGE-TEMPLATE-012,2.0-template,edge_11,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-013,G2K-EDGE-TEMPLATE-013,2.0-template,edge_12,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-014,G2K-EDGE-TEMPLATE-014,2.0-template,edge_13,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-015,G2K-EDGE-TEMPLATE-015,2.0-template,edge_14,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-016,G2K-EDGE-TEMPLATE-016,2.0-template,edge_15,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-017,G2K-EDGE-TEMPLATE-017,2.0-template,edge_16,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-018,G2K-EDGE-TEMPLATE-018,2.0-template,edge_17,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-019,G2K-EDGE-TEMPLATE-019,2.0-template,edge_18,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-DRY-020,G2K-EDGE-TEMPLATE-020,2.0-template,edge_19,true,true,MATCH,ALL_FALSE,SCHEMA_TEMPLATE_PASS_NOT_EVIDENCE,NOT_APPROVED,false,false
NODI-G2O-EDGE-POSITIVE-SCHEMA-SUMMARY,COMSOL_GATE2K_EDGE_CLOSURE_SYNTHETIC_POSITIVE_SCHEMA_RESULTS,synthetic-positive-schema,not_applicable,true,true,not_applicable,ALL_FALSE,SYNTHETIC_SCHEMA_RESULTS_READ_6_ROWS_NOT_EVIDENCE,NOT_APPROVED,false,false
