requirement_id,field_name,requirement_level,description,current_gate2a_provenance_status,missing_from_gate2a_provenance_export,default_value_or_policy,required_validation_check,allowed_use,blocked_use
QCH-REQ-001,route_key,required,NODI-consumable route key at the same grain expected by the ingestion gate.,"provenance export has descriptive route_family/W/D/channel fields, not a formal route_key contract.",true,must match NODI route registry or be explicit UNBOUND,path resolves and route key policy is present,descriptive schema review only,q_ch weighting; flow split; formula input; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-002,route_family,required,COMSOL route family such as W800/D900 or W800/D1200 with explicit mapping to route_key.,partially present as route_family and W_nominal_nm/D_nm.,false,carry forward with explicit mapping policy,non-empty for each row,descriptive schema review only,silent remapping across route families; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-003,NODI_view_binding_policy,required,NODI_view value or explicit UNBOUND status plus reason.,missing.,true,required before NODI can claim view-specific binding,no blank view policy,binding policy review,view-specific production claim; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-004,diameter_nm,required,Particle/EV diameter grain if q_ch is diameter-specific; otherwise explicit not_applicable with rationale.,missing/unclear in provenance export; lambda_nm is not enough.,true,explicit diameter_nm or not_applicable_scope,no automatic 220/300/40/60 mapping,grain review,diameter remapping; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-005,bin_basis,conditional,Bin basis if q_ch/flow split is bin-specific; otherwise explicit aggregate/unbinned status.,missing.,true,edge bin basis or aggregate_unbinned,bin basis is declared,schema review,edge4-to-edge20 direct claim; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-006,q_ch_value,required,Formal per-route/channel q_ch numeric value.,only q_ch_m3_s_descriptive exists; not formal sidecar.,true,numeric with units and scope,finite numeric and not descriptive-only,future sidecar review only,weighting before authorization; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-007,flow_split_value,required,Formal flow split value and denominator across route set.,missing.,true,numeric fraction plus route set denominator,fractions sum to declared normalization where applicable,future sidecar review only,flow split formula input before validation; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-008,units,required,Units for q_ch and flow split.,q_ch units partially present; flow split units missing.,true,SI units for q_ch; dimensionless fraction for flow split,units non-empty and compatible,unit review,unitless q_ch use; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-009,normalization_basis,required,"Total-flow denominator, channel count, or route set basis for flow split.",missing.,true,explicit denominator and included/excluded routes,normalization declared and reproducible,schema review,implicit normalization; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-010,source_solve_provenance_id,required,Source run/solve/provenance id for each q_ch row.,partially present as run_id/launch_case_id.,false,carry forward and bind to solve/provenance manifest,non-empty and manifest-backed,provenance review,untraceable q_ch; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-011,source_geometry_hash,required,Hash or immutable id of geometry used for q_ch extraction.,missing.,true,geometry hash or model identity hash,non-empty and reproducible,geometry provenance review,cross-geometry q_ch reuse; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-012,integration_surface_or_volume_definition,required,Named surface/volume/cut-plane definition used to integrate q_ch.,missing.,true,stable integration definition id and units,definition resolves to source documentation,review only until audited,ambiguous q_ch extraction; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-013,allowed_use,required,Allowed use wording for sidecar rows.,present but provenance-only.,false,default descriptive review until NODI opens q_ch gate,must not claim weighting unless authorized,descriptive review,production/runtime; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-014,blocked_use,required,Blocked use list including q_ch weighting and q_ch*eta/q_ch*chi*eta.,present.,false,must include all forbidden formula/decision uses,contains forbidden-use terms,guardrail review,formula leakage; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-015,uncertainty_or_review_flag,recommended,Uncertainty/review flag where available.,missing.,true,review_required if uncertainty unavailable,flag present,review triage,overconfident scalar claim; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-016,qch_weighting_authorized,required,"Boolean authorization flag, default false until NODI gate opens.",present and false.,false,false by default,all rows false unless gate opens,guardrail review,weighting authorization; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-017,required_validation_checks,required,Validation contract for path/SHA/row count/schema/units/normalization/forbidden uses.,missing as formal sidecar validation contract.,true,machine-readable validation rows,validation exists and passes,future validation,unvalidated sidecar ingestion; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
QCH-REQ-018,is_formal_gate2_qch_sidecar,required,Explicit sidecar identity flag.,present and false.,false,false for provenance export; true only for future reviewed sidecar,must remain false in Gate2A provenance file,identity review,misclassification as formal sidecar; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability
