synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,route_id_role,boundary_anchor_W_top_nm,leading_peak_width_context_nm,leading_snr_width_context_nm,peak_width_delta_vs_boundary_anchor_nm,snr_width_delta_vs_boundary_anchor_nm,dimension_context_after_boundary_followup,width_grid_json
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D1200-comsol_outlet_flux_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,boundary_dimension_context_not_route_selection,647,687,667,40,20,still_wider_after_boundary_followup,"[627, 647, 667, 687]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D1200-comsol_residence_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,boundary_dimension_context_not_route_selection,647,687,667,40,20,still_wider_after_boundary_followup,"[627, 647, 667, 687]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D1200-uniform_edge_mass,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,boundary_dimension_context_not_route_selection,647,687,667,40,20,still_wider_after_boundary_followup,"[627, 647, 667, 687]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D900-comsol_outlet_flux_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,boundary_dimension_context_not_route_selection,620,660,620,40,0,still_wider_after_boundary_followup,"[600, 620, 640, 660]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D900-comsol_residence_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,boundary_dimension_context_not_route_selection,620,660,620,40,0,still_wider_after_boundary_followup,"[600, 620, 640, 660]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W500_D900-uniform_edge_mass,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,boundary_dimension_context_not_route_selection,620,660,620,40,0,still_wider_after_boundary_followup,"[600, 620, 640, 660]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W600_D900-comsol_outlet_flux_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,boundary_dimension_context_not_route_selection,720,760,740,40,20,still_wider_after_boundary_followup,"[700, 720, 740, 760]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W600_D900-comsol_residence_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,boundary_dimension_context_not_route_selection,720,760,740,40,20,still_wider_after_boundary_followup,"[700, 720, 740, 760]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-404_W600_D900-uniform_edge_mass,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,boundary_dimension_context_not_route_selection,720,760,740,40,20,still_wider_after_boundary_followup,"[700, 720, 740, 760]"
sidewall_boundary_width_followup_v1,BOUNDARY-DIM-660_W500_D1500-comsol_outlet_flux_fraction,execute or plan a boundary follow-up width sweep after 608 found leading distribution-weighted widths at the upper sweep edge,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",boundary_width_followup_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,boundary_dimension_context_not_route_selection,673,713,713,40,40,still_wider_after_boundary_followup,"[653, 673, 693, 713]"
