synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,route_id_role,extension_anchor_W_top_nm,leading_peak_width_context_nm,leading_snr_width_context_nm,leading_annulus_fraction_width_context_nm,peak_width_delta_vs_extension_anchor_nm,snr_width_delta_vs_extension_anchor_nm,annulus_width_delta_vs_extension_anchor_nm,leading_mass_window_context,leading_peak_contribution_window_context,leading_snr_contribution_window_context,dimension_context_after_extended_width_envelope,width_grid_json
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D1200-comsol_outlet_flux_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,extended_dimension_context_not_route_selection,687,767,747,727,80,60,40,0p4_0p7,0p4_0p7,0p4_0p7,still_wider_after_extended_width_envelope,"[687, 707, 727, 747, 767]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D1200-comsol_residence_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,extended_dimension_context_not_route_selection,687,767,747,727,80,60,40,0p4_0p7,0p4_0p7,0p4_0p7,still_wider_after_extended_width_envelope,"[687, 707, 727, 747, 767]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D1200-uniform_edge_mass,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,extended_dimension_context_not_route_selection,687,767,767,727,80,80,40,0p5_0p8,0p4_0p7,0p6_0p9,still_wider_after_extended_width_envelope,"[687, 707, 727, 747, 767]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D900-comsol_outlet_flux_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,extended_dimension_context_not_route_selection,660,740,720,720,80,60,60,0p5_0p8,0p5_0p8,0p5_0p8,still_wider_after_extended_width_envelope,"[660, 680, 700, 720, 740]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D900-comsol_residence_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,extended_dimension_context_not_route_selection,660,740,720,720,80,60,60,0p5_0p8,0p5_0p8,0p5_0p8,still_wider_after_extended_width_envelope,"[660, 680, 700, 720, 740]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W500_D900-uniform_edge_mass,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,extended_dimension_context_not_route_selection,660,740,720,720,80,60,60,0p5_0p8,0p6_0p9,0p5_0p8,still_wider_after_extended_width_envelope,"[660, 680, 700, 720, 740]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W600_D900-comsol_outlet_flux_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,extended_dimension_context_not_route_selection,760,840,820,820,80,60,60,0p4_0p7,0p4_0p7,0p4_0p7,still_wider_after_extended_width_envelope,"[760, 780, 800, 820, 840]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W600_D900-comsol_residence_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,extended_dimension_context_not_route_selection,760,840,820,820,80,60,60,0p4_0p7,0p4_0p7,0p4_0p7,still_wider_after_extended_width_envelope,"[760, 780, 800, 820, 840]"
sidewall_extended_width_envelope_v1,EXTW-DIM-404_W600_D900-uniform_edge_mass,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,extended_dimension_context_not_route_selection,760,840,820,820,80,60,60,0p5_0p8,0p4_0p7,0p5_0p8,still_wider_after_extended_width_envelope,"[760, 780, 800, 820, 840]"
sidewall_extended_width_envelope_v1,EXTW-DIM-660_W500_D1500-comsol_outlet_flux_fraction,execute or plan an extended width-envelope sweep after 609 showed all COMSOL-weighted boundary contexts still wider,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",extended_width_envelope_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,extended_dimension_context_not_route_selection,713,793,773,713,80,60,0,0p4_0p7,0p4_0p7,0p4_0p7,still_wider_after_extended_width_envelope,"[713, 733, 753, 773, 793]"
