shard_version,row_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_yield,not_route_score,not_winner,not_qch_weighted,not_true_W_eff,not_production_prs,claim_boundary,shard_case_id,route_id_nodi,route_id_nodi_role,lambda_nm,W_nominal_nm,W_top_nm,W_top_semantics,D_nm,depth_nm,diameter_nm,particle_model,channel_cross_section_model,sidewall_angle_convention,sidewall_deg_comsol,sidewall_taper_angle_deg_nodi,W_bottom_unclipped_nm,W_bottom_runtime_clipped_nm,closure_status,n_events_requested,random_seed,reference_model,reference_spatial_mode,flow_profile_model,diffusion_hindrance_model,readout_preset,execution_status,n_events_observed,synthetic_counting_context_rate,stable_counting_context_rate,mean_peak_height,mean_local_snr,selected_annulus_source,selected_annulus_edge_norm_min,selected_annulus_edge_norm_max,selected_annulus_n_events,selected_annulus_fraction,selected_annulus_mean_edge_norm,selected_annulus_counting_context_rate,reference_geometry_propagation_status,reference_geometry_claim_level,geometry_not_propagated_to_reference_field,reference_uses_rectangular_width_depth_surrogate,not_optical_solver_output,optical_solver_trigger_is_result,not_event_run_probability_claim
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH90-P100,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH90-P100,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,100,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59290,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,15.079156396897366,20946.916164838378,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,1,0.25,0.5867563625036918,1.0,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH90-P220,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH90-P220,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,220,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59410,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,303.44970158426634,629586.8488018932,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,3,0.75,0.5964759813657684,1.0,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH90-P300,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH90-P300,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,300,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59490,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,839.75602812234,1467144.4674782385,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,2,0.5,0.6325658213860006,1.0,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH85-P100,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH85-P100,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,100,gold_baseline_material_model,trapezoid_tapered_sidewalls,comsol_from_horizontal,85.0,5.0,342.52040565333687,342.52040565333687,open,4,59285,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,15.835106207300221,27412.98860883529,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,1,0.25,0.5815118395298005,1.0,trapezoid_geometry_propagated_to_effective_aperture_reference_surrogate,sidewall_geometry_propagated_to_effective_aperture_surrogate_not_optical_solver,False,False,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH85-P220,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH85-P220,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,220,gold_baseline_material_model,trapezoid_tapered_sidewalls,comsol_from_horizontal,85.0,5.0,342.52040565333687,342.52040565333687,open,4,59405,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,304.49020880175283,606517.6630113223,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,1,0.25,0.5394302912349658,1.0,trapezoid_geometry_propagated_to_effective_aperture_reference_surrogate,sidewall_geometry_propagated_to_effective_aperture_surrogate_not_optical_solver,False,False,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D900-TH85-P300,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D900-TH85-P300,404/W500/D900,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,900,900,300,gold_baseline_material_model,trapezoid_tapered_sidewalls,comsol_from_horizontal,85.0,5.0,342.52040565333687,342.52040565333687,open,4,59485,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,841.5028940058634,1610992.626310212,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,0,0.0,,,trapezoid_geometry_propagated_to_effective_aperture_reference_surrogate,sidewall_geometry_propagated_to_effective_aperture_surrogate_not_optical_solver,False,False,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D1200-TH90-P100,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D1200-TH90-P100,404/W500/D1200,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,1200,1200,100,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59390,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,14.939433765148085,25328.419454280353,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,0,0.0,,,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D1200-TH90-P220,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D1200-TH90-P220,404/W500/D1200,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,1200,1200,220,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59510,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,305.79339468976235,701641.4704521821,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,2,0.5,0.6419963179475511,1.0,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D1200-TH90-P300,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D1200-TH90-P300,404/W500/D1200,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,1200,1200,300,gold_baseline_material_model,ideal_rectangle,comsol_from_horizontal,90.0,0.0,500.00000000000006,500.00000000000006,open,4,59590,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,853.0684573176832,1594224.396611343,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,2,0.5,0.6298405974704802,1.0,rectangle_native_or_non_sidewall_geometry,reference_surrogate_geometry_native_rectangle,False,True,True,False,True
sidewall_bounded_event_shards_v1,SHARD-404_W500_D1200-TH85-P100,"[""590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702"", ""run_single_case_batch"", ""trapezoid_effective_aperture_surrogate"", ""tsuyama_2022_counting_10sigma""]","execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",True,True,True,True,True,True,True,bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability,SHARD-404_W500_D1200-TH85-P100,404/W500/D1200,join_key_only_not_selection,404,500,500,runtime_top_aperture_surrogate,1200,1200,100,gold_baseline_material_model,trapezoid_tapered_sidewalls,comsol_from_horizontal,85.0,5.0,290.02720753778243,290.02720753778243,open,4,59385,trapezoid_effective_aperture_surrogate,cross_section_surrogate,plug,none,tsuyama_2022_counting_10sigma,executed_bounded_nodi_shard,4,1.0,1.0,15.339777153384262,30125.91725825612,initial_position_edge_norm_annulus_diagnostic_v1,0.5,0.8,2,0.5,0.5891850245513917,1.0,trapezoid_geometry_propagated_to_effective_aperture_reference_surrogate,sidewall_geometry_propagated_to_effective_aperture_surrogate_not_optical_solver,False,False,True,False,True
