ledger_id,commit,short_commit,role,change,changes_contract_semantics,release_interpretation,diff_intent,commit_action
G15A-HEAD-001,6df1a4a8aabcc29ef04badfe83e01def198b1265,6df1a4a,Gate14 status build head,builder/reports package generated before later sidecar/audit commits,false,SUPERSEDED_BY_CURRENT_RELEASE_HEAD,,
G15A-HEAD-002,34ae965,34ae965,successor-head allowance,allows COMSOL producer head to advance after package baseline if package receipt remains valid,false,AUDIT_COMPATIBILITY_UPDATE,,
G15A-HEAD-003,63a4c02,63a4c02,audit update,updates roadmap/audit text; no contract semantics change,false,AUDIT_UPDATE,,
G15A-HEAD-004,b4561298c8e5ba1ef083f0114ed183882117282e,b456129,Gate14 released sidecar package head,force-added ignored Gate14 sidecars and pushed release package,false,CURRENT_RELEASE_HEAD_B456129_SUPERSEDES_GATE14_BUILD_HEAD_6DF1A4A,,
G15A-HEAD-005,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,current local head at Gate15 build,Gate15 may include legitimate blocked-bin/support-source guard hardening before final commit,false,CLEAN_RELEASE_OR_LEGIT_GATE15_PENDING_HARDENING,,
G15A-DIRTY-001,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_MANIFEST_20260630.csv,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
G15A-DIRTY-002,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_RELEASE_HEAD_RECONCILIATION_20260630.csv,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
G15A-DIRTY-003,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_REPORT_20260630.json,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
G15A-DIRTY-004,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_STATUS_20260630.json,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
G15A-DIRTY-005,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,tests/test_nodi_comsol_gate15_sidewall_bilateral_contract_closure.py,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
G15A-DIRTY-006,f3dbdbafde0dba036c93de4d6ef503f403a76d62,f3dbdba,worktree_dirty_classification,tools/audits/build_nodi_comsol_gate15_sidewall_bilateral_contract_closure.py,false,LEGIT_GATE15_GENERATED_OUTPUT_PENDING_COMMIT,Gate15 generated report/sidecar/builder/test,stage_with_gate15_commit_after_tests
