synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,candidate_envelope_route_id_nodi,width_sweep_route_id_nodi,route_id_role,W_top_nm,candidate_envelope_W_top_nm,width_sweep_delta_vs_candidate_nm,width_context,weighting_mode,weighted_event_rows,canonical_window_present,leading_mass_window_context,leading_peak_contribution_window_context,leading_snr_contribution_window_context,mean_weighted_peak_contribution,mean_weighted_local_snr_contribution,mean_weighted_selected_annulus_fraction,window_summary_json
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W567-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W567/D1200,width_sweep_summary_context_not_selection,567,607,-40,below_current_candidate_width,comsol_outlet_flux_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,81.16007207733226,155044.34640290457,0.07651267294796493,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 117.1137344211025, ""snr_contribution"": 223739.27905895826, ""selected_annulus_fraction_contribution"": 0.10780032131868726}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 76.29537291921848, ""snr_contribution"": 146395.54657162016, ""selected_annulus_fraction_contribution"": 0.06823977123184555}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 50.0711088916758, ""snr_contribution"": 94998.21357813534, ""selected_annulus_fraction_contribution"": 0.053497926293361996}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W567-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W567/D1200,width_sweep_summary_context_not_selection,567,607,-40,below_current_candidate_width,comsol_residence_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,118.86976776410962,226994.43523442958,0.11070833713421986,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 144.2794380167565, ""snr_contribution"": 275439.6367928623, ""selected_annulus_fraction_contribution"": 0.12991270181094675}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 121.98232246471713, ""snr_contribution"": 234100.68543079123, ""selected_annulus_fraction_contribution"": 0.10675798735590725}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 90.34754281085527, ""snr_contribution"": 171442.98347963518, ""selected_annulus_fraction_contribution"": 0.09545432223580559}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W567-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W567/D1200,width_sweep_summary_context_not_selection,567,607,-40,below_current_candidate_width,uniform_edge_mass,39,True,0p5_0p8,0p5_0p8,0p5_0p8,124.41775531544353,237485.95945460754,0.11602564102564102,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 124.32977520617388, ""snr_contribution"": 237326.1569428951, ""selected_annulus_fraction_contribution"": 0.11153846153846152}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.4791338182745, ""snr_contribution"": 238914.29298000268, ""selected_annulus_fraction_contribution"": 0.1076923076923077}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.44435692188222, ""snr_contribution"": 236217.42844092485, ""selected_annulus_fraction_contribution"": 0.12884615384615386}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W587-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W587/D1200,width_sweep_summary_context_not_selection,587,607,-20,below_current_candidate_width,comsol_outlet_flux_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,82.27371220716806,154884.74987961844,0.07712133464318421,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 118.70077642858391, ""snr_contribution"": 222066.09357898356, ""selected_annulus_fraction_contribution"": 0.09251487450329302}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 77.36712864024516, ""snr_contribution"": 145164.4312665835, ""selected_annulus_fraction_contribution"": 0.07514702918585602}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 50.75323155267511, ""snr_contribution"": 97423.72479328826, ""selected_annulus_fraction_contribution"": 0.06370210024040361}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W587-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W587/D1200,width_sweep_summary_context_not_selection,587,607,-20,below_current_candidate_width,comsol_residence_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,120.5064636556395,227061.0183371869,0.11455591900780195,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 146.24341686259194, ""snr_contribution"": 273394.98661754566, ""selected_annulus_fraction_contribution"": 0.11192108633636297}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 123.69527453087282, ""snr_contribution"": 232001.35472147915, ""selected_annulus_fraction_contribution"": 0.11797452445381346}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 91.5806995734537, ""snr_contribution"": 175786.71367253593, ""selected_annulus_fraction_contribution"": 0.11377214623322944}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W587-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W587/D1200,width_sweep_summary_context_not_selection,587,607,-20,below_current_candidate_width,uniform_edge_mass,39,True,0p5_0p8,0p5_0p8,0p6_0p9,126.13297131920308,238129.6334599673,0.12307692307692308,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 126.02344409720884, ""snr_contribution"": 235566.58812956064, ""selected_annulus_fraction_contribution"": 0.09615384615384613}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 126.22683349269772, ""snr_contribution"": 236702.10942321777, ""selected_annulus_fraction_contribution"": 0.11923076923076925}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 126.14863636770268, ""snr_contribution"": 242120.20282712346, ""selected_annulus_fraction_contribution"": 0.15384615384615388}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W607-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W607/D1200,width_sweep_summary_context_not_selection,607,607,0,current_candidate_envelope_width,comsol_outlet_flux_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,83.18850441230761,154829.37256332682,0.07855250914523461,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 120.11419796707524, ""snr_contribution"": 225015.062805294, ""selected_annulus_fraction_contribution"": 0.09475692746297693}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 78.08992515860389, ""snr_contribution"": 140420.69279948075, ""selected_annulus_fraction_contribution"": 0.07643025990632894}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 51.36139011124371, ""snr_contribution"": 99052.3620852057, ""selected_annulus_fraction_contribution"": 0.06447034006639797}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W607-comsol_residence_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W607/D1200,width_sweep_summary_context_not_selection,607,607,0,current_candidate_envelope_width,comsol_residence_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,121.84003954969387,226846.56538815354,0.11643539078689946,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 147.98696407255244, ""snr_contribution"": 277265.76829535246, ""selected_annulus_fraction_contribution"": 0.11422782599529656}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 124.85556557472682, ""snr_contribution"": 224520.88413658846, ""selected_annulus_fraction_contribution"": 0.11991640807560523}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 92.67758900180235, ""snr_contribution"": 178753.04373251973, ""selected_annulus_fraction_contribution"": 0.11516193828979662}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W607-uniform_edge_mass,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W607/D1200,width_sweep_summary_context_not_selection,607,607,0,current_candidate_envelope_width,uniform_edge_mass,39,True,0p5_0p8,0p6_0p9,0p6_0p9,127.53265148334526,238111.16320496763,0.125,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 127.52623161167266, ""snr_contribution"": 238935.93895867935, ""selected_annulus_fraction_contribution"": 0.09807692307692305}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.41336626321848, ""snr_contribution"": 229123.9474063637, ""selected_annulus_fraction_contribution"": 0.12115384615384618}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.65835657514468, ""snr_contribution"": 246273.60324985982, ""selected_annulus_fraction_contribution"": 0.1557692307692308}]"
sidewall_distribution_weighted_width_sweep_v1,WIDTH-SUM-404_W500_D1200-W627-comsol_outlet_flux_fraction,"execute or plan a distribution-weighted width sweep around the sidewall candidate dimensions to assess dimension, annulus, and interference-response shifts","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_width_sweep_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,404/W607/D1200,404/W627/D1200,width_sweep_summary_context_not_selection,627,607,20,above_current_candidate_width,comsol_outlet_flux_fraction,39,True,0p4_0p7,0p4_0p7,0p4_0p7,83.95719675448872,150441.25231450863,0.07681824492799125,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 121.23642236059973, ""snr_contribution"": 210399.56224829212, ""selected_annulus_fraction_contribution"": 0.09086192751295954}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 78.83487553715587, ""snr_contribution"": 141248.52637947348, ""selected_annulus_fraction_contribution"": 0.08379016149966916}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 51.80029236571053, ""snr_contribution"": 99675.6683157603, ""selected_annulus_fraction_contribution"": 0.05580264577134505}]"
