required_field,candidate_value_present,classification,required_next_gate,can_register_proof_now,can_mark_package_c_pass_now,draft_signoff_wording_status,allowed_use,blocked_use
angle_depth_mutation_evidence_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
authorization_supersedes_no_auth_ledger_id,false,blank_missing,requires_future_explicit_authorization_or_independent_review,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
authorization_supersedes_no_auth_ledger_sha256,false,blank_missing,requires_future_explicit_authorization_or_independent_review,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
boundary_atom_threshold,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
corner_active_set_evidence_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
corner_bias_test_threshold,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
dependency_lock_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
depth_grid_nm,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
diffusion_coefficient_grid_m2_s,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
dt_convergence_evidence_sha256,true,candidate_value_present,requires_comsol_no_run_receipt_then_future_user_authorization,false,false,DRAFT_NOT_AUTHORIZATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
