harmonization_id,nodi_adapter_rule_id,comsol_adapter_rule_id,source_field,target_field,harmonization_class,adapter_action,safe_alias_rule,blocked_rule,requires_future_gate,policy_verdict_change_allowed,authorization_promotion_allowed
G6D-HARM-0001,G5D-NODI-GAP-0001,G5C-ADAPT-GAP-001,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0002,G5D-NODI-GAP-0002,G5C-ADAPT-GAP-002,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0003,G5D-NODI-GAP-0003,G5C-ADAPT-GAP-003,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0004,G5D-NODI-GAP-0004,G5C-ADAPT-GAP-004,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0005,G5D-NODI-GAP-0005,G5C-ADAPT-GAP-005,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0006,G5D-NODI-GAP-0006,G5C-ADAPT-GAP-006,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0007,G5D-NODI-GAP-0007,G5C-ADAPT-GAP-007,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0008,G5D-NODI-GAP-0008,G5C-ADAPT-GAP-008,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0009,G5D-NODI-GAP-0009,G5C-ADAPT-GAP-009,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0010,G5D-NODI-GAP-0010,G5C-ADAPT-GAP-010,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0011,G5D-NODI-GAP-0011,G5C-ADAPT-GAP-011,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0012,G5D-NODI-GAP-0012,G5C-ADAPT-GAP-012,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0013,G5D-NODI-GAP-0013,G5C-ADAPT-GAP-013,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0014,G5D-NODI-GAP-0014,G5C-ADAPT-GAP-014,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0015,G5D-NODI-GAP-0015,G5C-ADAPT-GAP-015,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0016,G5D-NODI-GAP-0016,G5C-ADAPT-GAP-016,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0017,G5D-NODI-GAP-0017,G5C-ADAPT-GAP-017,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0018,G5D-NODI-GAP-0018,G5C-ADAPT-GAP-018,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0019,G5D-NODI-GAP-0019,G5C-ADAPT-GAP-019,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
G6D-HARM-0020,G5D-NODI-GAP-0020,G5C-ADAPT-GAP-020,expected_label,expected_nodi_disposition,common_rules,map unknown COMSOL negative-control label to NODI review/preauth vocabulary; retain not_evidence and no authorization,true,false,false,false,false
