schema_row_id,field_name,required_type,acceptance_requirement,current_status,can_enter_weighting,is_formal_gate2_qch_sidecar,allowed_use,blocked_use
NODI-G2L-QCH-SCHEMA-001,qch_sidecar_id,string,required formal sidecar row id,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-002,route_key,string,exact NODI route binding,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-003,NODI_view,string,explicit NODI view binding,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-004,diameter_nm,number,"exact diameter, no auto-map",NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-005,bin_basis,string,declared bin basis or aggregate,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-006,q_ch_value,number,formal q_ch value,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-007,flow_split_fraction,number,normalized flow split,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-008,q_ch_units,string,declared units,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-009,normalization_basis,string,flow split normalization rule,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2L-QCH-SCHEMA-010,source_solve_hash,sha256,source solve provenance,NO_FORMAL_SIDECAR_PRESENT,false,false,future formal q_ch sidecar contract only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
