check_id,source_requirement_id,field_name,requirement_level,current_status,formal_sidecar_acceptance_status,current_qch_artifact_status,is_formal_gate2_qch_sidecar,qch_weighting_authorized,qch_eta_authorized,qch_chi_eta_authorized,allowed_use,blocked_use,required_next_gate
NODI-G2C-QCH-REQ-001,QCH-REQ-001,route_key,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,descriptive schema review only,q_ch weighting; flow split; formula input; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-002,QCH-REQ-002,route_family,required,PROVENANCE_ONLY_REVIEWABLE,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,descriptive schema review only,silent remapping across route families; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-003,QCH-REQ-003,NODI_view_binding_policy,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,binding policy review,view-specific production claim; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-004,QCH-REQ-004,diameter_nm,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,grain review,diameter remapping; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-005,QCH-REQ-005,bin_basis,conditional,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,schema review,edge4-to-edge20 direct claim; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-006,QCH-REQ-006,q_ch_value,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,future sidecar review only,weighting before authorization; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-007,QCH-REQ-007,flow_split_value,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,future sidecar review only,flow split formula input before validation; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-008,QCH-REQ-008,units,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,unit review,unitless q_ch use; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-009,QCH-REQ-009,normalization_basis,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,schema review,implicit normalization; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-010,QCH-REQ-010,source_solve_provenance_id,required,PROVENANCE_ONLY_REVIEWABLE,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,provenance review,untraceable q_ch; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-011,QCH-REQ-011,source_geometry_hash,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,geometry provenance review,cross-geometry q_ch reuse; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-012,QCH-REQ-012,integration_surface_or_volume_definition,required,GAP_PRESENT,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,review only until audited,ambiguous q_ch extraction; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
NODI-G2C-QCH-REQ-013,QCH-REQ-013,allowed_use,required,PROVENANCE_ONLY_REVIEWABLE,NOT_SATISFIED_CURRENTLY,PROVENANCE_ONLY_NOT_FORMAL_SIDECAR,false,false,false,false,descriptive review,production/runtime; q_ch*eta; q_ch*chi*eta; JRC; route_score; yield; winner; detection_probability,future formal q_ch / flow-split sidecar export and NODI validation
