matrix_id,trigger_condition,affected_field_or_surface,required_response,current_gate_status,can_emit_sidewall_runtime_result,can_emit_numeric_prs_eas,can_update_proof_registry,allowed_use,blocked_use
G27D-FAIL-CLOSED-001,missing_real_proof_artifact,package_C_validation_status=pass,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-002,row_local_id_hash_only,package_C_validation_status=pass,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-003,projection_named_validated_reflection,trajectory_boundary_claim_level,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-004,missing_dt_halving_evidence,brownian_boundary_claim_level,hard_fail_future_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-005,missing_uniform_equilibrium_evidence,brownian_boundary_claim_level,hard_fail_future_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-006,boundary_atom_spike_detected,brownian_boundary_claim_level,hard_fail_future_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-007,hindered_diffusion_enabled_under_trapezoid_without_solver_or_surrogate_label,diffusion_hindrance_model,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-008,fixed_pressure_trapezoid_flow_without_solver,flow_control_mode,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-009,electrokinetic_rect_grid_under_trapezoid,electrokinetic_grid_geometry_model,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G27D-FAIL-CLOSED-010,optical_true_W_eff_without_solver,W_eff,hard_fail_current_gate,blocked_fail_closed,false,false,false,design-only Package C implementation preflight;future proof artifact contract;future work backlog;fail-closed matrix;no-run no-auth,Package C physics implementation;proof artifact registration;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
