schema_version,nodi_register_row_id,comsol_gate_id,blocker_status,blocker_reason,required_next_gate,can_enter_weighting,can_enter_jrc
nodi_comsol_gate2a_blockers_v1,G2CTX-TPD-SOURCE-001,G2-TPD-SOURCE-CONTEXT,NODI_RECONCILED_BLOCKED_ROUTE_DIAMETER_BIN_VIEW_MISMATCH,BLOCKED_NOT_WEIGHTING_AUTHORIZED for any weighted output,NODI/COMSOL route-diameter-view-bin binding repair or reduced-scope decision,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-TPD-ALIGN-002,G2-TPD-PRS-ALIGNMENT,NODI_RECONCILED_BLOCKED_ROUTE_DIAMETER_BIN_VIEW_MISMATCH,PRS production artifact not re-ingested here; TPD quarter bins require explicit PRS edge20 grouping review,NODI/COMSOL route-diameter-view-bin binding repair or reduced-scope decision,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-QCH-MISSING-003,G2-QCH-SIDECAR,NODI_RECONCILED_BLOCKED_MISSING_FORMAL_QCH_FLOW_SPLIT,No Gate2 route-level q_ch/flow-split sidecar package is authorized or emitted; only lineage/preflight/descriptive context exists,COMSOL formal Gate2 q_ch/flow split export package,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-LQ-ANCHOR-006,G2-LOCAL-Q-HYDRAULIC,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,"Hydraulic anchor only; particle access, wet surface chemistry, and calibrated event data remain separate",remain review-only unless a future scoped binding gate is opened,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-LQ-SCREEN-007,G2-LOCAL-Q-HYDRAULIC,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,Screening/review only; calibrated event data and physics-contract gates absent,remain review-only unless a future scoped binding gate is opened,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-LQ-BRANCH-008,G2-LOCAL-Q-HYDRAULIC,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,Screening/review only; calibrated event data and physics-contract gates absent,remain review-only unless a future scoped binding gate is opened,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-V4-CONTRACT-009,G2-V4-NODI-REVIEW,NODI_RECONCILED_V4_REVIEW_ONLY,Needs a new V4-bound ingestion gate before any NODI runtime or production use,separate V4-bound ingestion gate before runtime or production use,false,false
nodi_comsol_gate2a_blockers_v1,G2CTX-V4-SIDECAR-010,G2-V4-NODI-REVIEW,NODI_RECONCILED_V4_REVIEW_ONLY,Needs a new V4-bound ingestion gate before any NODI runtime or production use,separate V4-bound ingestion gate before runtime or production use,false,false
nodi_comsol_gate2a_blockers_v1,*,G2-WEIGHTING-AUTHORIZATION,NODI_RECONCILED_BLOCKED_STRONG_CLAIMS,any weighted output or production scalar,future explicit weighting/JRC/strong-claims authorization,false,false
nodi_comsol_gate2a_blockers_v1,*,G2-JRC-STRONG-CLAIMS,NODI_RECONCILED_BLOCKED_STRONG_CLAIMS,"JOINT_ROUTE_CLASS, yield, winner, detection_probability, recovery, time-to-clog, fabrication_release",future explicit weighting/JRC/strong-claims authorization,false,false
