requirement_id,requirement_family,required_field_or_model,required_value,current_state,hard_requirement,fail_condition,required_before_package_c_pass,implementation_authorized,runtime_allowed,allowed_claim_level_now,allowed_use,blocked_use
G26B-BROWNIAN-001,target_model,brownian_boundary_target_model,skorokhod_normal_reflection_convex_offset_trapezoid_v1,current code exposes projection surrogate only,Package C design must target reflected Brownian motion in the particle-center offset trapezoid.,target model absent or current projection renamed as validated reflection,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-002,current_projection_claim,trajectory_boundary_claim_level,sidewall_projection_boundary_surrogate_not_specular_reflection,trapezoid_center_support_projection_boundary_v1,Projection may be kept only as audit/projection surrogate with explicit non-validated claim level.,"projection boundary is described as specular, validated reflection, Skorokhod-validated, or true Brownian reflection",true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-003,wall_constraints,wall_constraint_formula_id,trapezoid_center_support_half_plane_constraints_v1,geometry primitive already exposes wall distances/support checks,"Four wall constraints and inward normals must be explicit for top, bottom, left, and right walls.",nearest-wall-only normal is used for corner active sets,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-004,single_wall_update,reflection_update_rule_id,folded_normal_single_wall_mirror_update_v1,not implemented as validated Package C physics,Single-plane crossing design must mirror the overshoot along the inward unit normal.,single-wall crossing is clamped to wall or projected to a boundary atom,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-005,corner_active_set,corner_handling_model,convex_polygon_normal_cone_active_set_v1,current projection style is not final corner physics,"Corners require active-wall sets, nonnegative normal corrections, iteration limits, and fail-closed guards.",corner correction does not converge or uses nearest_wall_id only,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-006,support_invariant,support_invariant_check,contains_particle_center_true_for_every_sample,geometry contains checks exist,All generated trajectory points must remain inside particle-center support.,any sample violates contains_particle_center,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-007,boundary_atom,boundary_atom_fraction,measured_and_bounded_no_projection_spike,projection surrogate can create boundary pile-up,Long pure-Brownian tests must reject artificial atoms at walls or corners.,excess exact-boundary occupancy or projection spike detected,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-008,uniform_equilibrium,equilibrium_uniformity_check_status,pure_brownian_uniform_over_center_accessible_area_required,not yet a Package C pass criterion,"With plug flow, no drift, and no hindrance, stationary density must match accessible-area uniformity.","u marginal, x-local slices, or left-right symmetry fail",true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-009,dt_halving,dt_halving_convergence_status,dt_dt2_dt4_distribution_convergence_required,not yet a Package C pass criterion,"Time-step halving must converge wall-distance distributions, event counts, and short-lag MSD.",distribution deltas do not decrease or remain above tolerance,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26B-BROWNIAN-010,rectangle_limit,rectangle_limit_check_status,k_zero_numeric_equivalence_without_cache_or_schema_equivalence,ideal_rectangle remains native path,"At COMSOL 90 deg the trapezoid math may be numerically equivalent to rectangle, but signatures remain distinct.",old rectangular cache satisfies trapezoid request,true,false,false,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
