scan_id,fixture_id,hard_fail_code,fixture_variant,observed_result,expected_result,unexpected_pass,forbidden_promotion,scanner_status,allowed_use,blocked_use
G21D-SCAN-0001,G21C-FIXTURE-001-01,missing_angle_convention,direct_violation,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0002,G21C-FIXTURE-001-02,missing_angle_convention,alias_or_claim_promotion_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0003,G21C-FIXTURE-001-03,missing_angle_convention,signature_or_source_drift_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0004,G21C-FIXTURE-002-01,angle_conversion_mismatch,direct_violation,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0005,G21C-FIXTURE-002-02,angle_conversion_mismatch,alias_or_claim_promotion_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0006,G21C-FIXTURE-002-03,angle_conversion_mismatch,signature_or_source_drift_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0007,G21C-FIXTURE-003-01,bare_W_top_runtime_binding,direct_violation,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0008,G21C-FIXTURE-003-02,bare_W_top_runtime_binding,alias_or_claim_promotion_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0009,G21C-FIXTURE-003-03,bare_W_top_runtime_binding,signature_or_source_drift_probe,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21D-SCAN-0010,G21C-FIXTURE-004-01,silent_bottom_clip,direct_violation,FAIL_CLOSED_OR_BLOCKED_AUDIT,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,PASS_EXPECTED_FAIL_CLOSED,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
