backlog_id,work_item,required_change,current_gap,codex_action_class,proof_registration_relevance,current_status,can_register_proof_now,claim_boundary,allowed_use,blocked_use
G33-36-BACKLOG-001,clean_reviewed_commit_binding,"Bind reviewed commit, worktree clean status, git tree hash, and source lock before any future proof registry update.",candidate_may_include_uncommitted_or_unreviewed_changes_in_prior_exchange,immediate_design_then_future_clean_commit_run,proof_registration_hard_fail_if_missing,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-002,exact_vs_near_boundary_atom_split,Separate exact boundary atoms from epsilon-band near-boundary mass and wall pile-up ratios.,Gate30/31 reports max boundary atom fraction as one aggregate.,immediate_metric_builder_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-003,raw_histogram_artifact,"Emit u marginal, x_local_norm by u slice, wall-distance, nearest-wall, corner-bin histograms with bin edges and hashes.","summary metrics exist, raw review histograms are not yet line-broken and independently inspectable.",immediate_metric_builder_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-004,ess_autocorrelation_burnin_stride,"Report effective sample size, autocorrelation method, burn-in, sample stride, and seed policy.",raw sample counts exist but ESS caveat is not bound.,immediate_metric_builder_extension,proof_reproducibility_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-005,one_wall_folded_normal_suite,"Add d/sigma grid 0, 0.25, 0.5, 1, 2, 4 with KS or Wasserstein distance, normal mean/variance, tangential variance, and boundary atom split.",one-wall candidate status exists but proof-level raw CDF/histogram is not bound.,immediate_metric_builder_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-006,projection_clamp_negative_control,Run legacy projection/clamp negative control expected to fail boundary atom or pile-up diagnostics.,negative control absent from proof candidate packet.,immediate_test_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-007,rejection_resampling_negative_control,Run rejection/resampling negative control expected to fail one-step transition equivalence.,negative control absent from proof candidate packet.,immediate_test_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-008,worst_case_dt_refinement,"Select worst 10 scenarios by dt delta, corner rate, and near-closed margin; add dt=6.25e-6 s refinement.",candidate dt grid stops at 1.25e-5 s.,immediate_metric_builder_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-009,corner_area_normalized_heatmap,"Emit corner occupancy divided by accessible-area expectation, corner active-set rate, p50/p95/p99/max iterations, and nonconvergence count.",corner candidate status exists but proof-level heatmap and ratio are not bound.,immediate_metric_builder_extension,proof_metric_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-BACKLOG-010,line_broken_review_artifacts,Write pretty JSON and compact CSV summaries so reviewers can inspect rows without one-line minified blobs.,some JSON artifacts are machine-readable but not reviewer-friendly.,immediate_artifact_format_extension,review_quality_required,not_yet_implemented_in_gate33_36_design_packet,false,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
