blocker_id,route_candidate_id,evidence_lane,current_status,blocker_status,target_claim,next_required_evidence,hard_fail_if_promoted_without,claim_boundary
RYD-BLOCKER-ROUTE-CAND-001-flow_split_qch,ROUTE-CAND-001,flow_split_qch,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,ready_for_route_input_not_final_claim,route_score;winner;detection_probability,detector/blank calibration plus wet/surface validation and explicit route selection policy,formal_qch_sidecar_promoted_to_route_score_without_detector_wet_policy,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-001-pressure_flow_validation,ROUTE-CAND-001,pressure_flow_validation,exact_w500_d900_pressure_flow_result_accepted_formal_qch_sidecar_ready,ready_for_route_input_not_final_claim,route_score;winner;q_ch_weighting,route policy plus calibrated detector/wet/yield evidence,formal_qch_sidecar_promoted_to_route_score_without_route_policy_and_detection_yield_evidence,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-001-selected_annulus_detection_context,ROUTE-CAND-001,selected_annulus_detection_context,selected_annulus_context_available_small_n_not_probability,blocked_not_claim_ready,detection_probability;route_score;winner,"sidewall detector calibration, blank false-positive traces, and larger event panel",selected_annulus_context_promoted_to_detection_probability,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-001-detector_response_bridge,ROUTE-CAND-001,detector_response_bridge,detector_identity_context_available_not_sidewall_response_validation,blocked_not_claim_ready,detection_probability,"detector operator, ROI/slit throughput, and standard-particle calibration consuming sidewall reference field",detector_identity_context_promoted_to_response_validation,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-001-blank_false_positive_trace,ROUTE-CAND-001,blank_false_positive_trace,nearest_blank_context_available_not_sidewall_specific_validation,blocked_not_claim_ready,detection_probability,sidewall-specific blank traces or validated transferable blank false-positive model,nearest_blank_context_promoted_to_detection_probability,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-001-wet_wall_interaction,ROUTE-CAND-001,wet_wall_interaction,wet_surface_evidence_contract_defined_no_wet_validation,blocked_not_claim_ready,yield,"sidewall-specific wet EV evidence bundle with material/surface identity, EV characterization, controls, time-series clogging, recovery/flush, and yield balance",wet_surface_contract_or_context_promoted_without_experiment_or_validated_transfer,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-flow_split_qch,ROUTE-CAND-002,flow_split_qch,formal_qch_sidecar_accepted_exact_pressure_flow_not_route_weighting,ready_for_route_input_not_final_claim,route_score;winner;detection_probability,detector/blank calibration plus wet/surface validation and explicit route selection policy,formal_qch_sidecar_promoted_to_route_score_without_detector_wet_policy,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-pressure_flow_validation,ROUTE-CAND-002,pressure_flow_validation,exact_w500_d900_pressure_flow_result_accepted_formal_qch_sidecar_ready,ready_for_route_input_not_final_claim,route_score;winner;q_ch_weighting,route policy plus calibrated detector/wet/yield evidence,formal_qch_sidecar_promoted_to_route_score_without_route_policy_and_detection_yield_evidence,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-selected_annulus_detection_context,ROUTE-CAND-002,selected_annulus_detection_context,selected_annulus_context_available_small_n_not_probability,blocked_not_claim_ready,detection_probability;route_score;winner,"sidewall detector calibration, blank false-positive traces, and larger event panel",selected_annulus_context_promoted_to_detection_probability,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-detector_response_bridge,ROUTE-CAND-002,detector_response_bridge,detector_identity_context_available_not_sidewall_response_validation,blocked_not_claim_ready,detection_probability,"detector operator, ROI/slit throughput, and standard-particle calibration consuming sidewall reference field",detector_identity_context_promoted_to_response_validation,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-blank_false_positive_trace,ROUTE-CAND-002,blank_false_positive_trace,nearest_blank_context_available_not_sidewall_specific_validation,blocked_not_claim_ready,detection_probability,sidewall-specific blank traces or validated transferable blank false-positive model,nearest_blank_context_promoted_to_detection_probability,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
RYD-BLOCKER-ROUTE-CAND-002-wet_wall_interaction,ROUTE-CAND-002,wet_wall_interaction,wet_surface_evidence_contract_defined_no_wet_validation,blocked_not_claim_ready,yield,"sidewall-specific wet EV evidence bundle with material/surface identity, EV characterization, controls, time-series clogging, recovery/flush, and yield balance",wet_surface_contract_or_context_promoted_without_experiment_or_validated_transfer,route_yield_detection_policy_not_route_score_not_yield_not_detection_probability
