threshold_id,metric_name,candidate_threshold,future_proof_level_threshold,hard_fail_note,current_gate33_36_status,claim_boundary,allowed_use,blocked_use
G33-36-THRESHOLD-001,support_invariance,0 violations,0 violations,hard fail if any simulated point is outside center support,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-002,exact_boundary_atom,<= 1e-5 or explicitly separated,0 exact atoms except deterministic initialization explicitly excluded,separate exact atom from near-boundary band mass,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-003,near_boundary_band_mass,<= expected + 3 SE,<= expected + 2 SE or pile-up ratio <= 1.25,must include per-wall expected band mass,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-004,equilibrium_uniformity_distance,<= 0.06,"<= 0.04 hard, target <= 0.03","must include u marginal, x_local_norm slices, symmetry and ESS",specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-005,dt_halving_distribution_delta,<= 0.10,"<= 0.075 hard, target <= 0.05",current candidate value 0.096354167 remains candidate-only,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-006,one_wall_kernel_distance,KS or Wasserstein <= 0.02,KS or Wasserstein <= 0.01,"d/sigma grid must include 0, 0.25, 0.5, 1, 2, 4",specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-007,rectangle_limit,machine or 1e-18 tolerance with distinct cache/signature,same with reviewed raw delta artifact,numeric equivalence cannot collapse schema or cache identity,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-008,corner_active_set,"nonconverged=0, p99 iterations <= 3, max <= 6 or substep/review","nonconverged=0, p99 iterations <= 3, max <= 6 else fail/substep",must report active-wall count and corner rate,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-009,corner_pileup_ratio,<= 1.5,<= 1.25,normalize corner occupancy by accessible-area expectation,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G33-36-THRESHOLD-010,angle_depth_radius_mutation,geometry/signature/wall-distance/event-count changes present,same plus raw metric deltas and source hash binding,D900 and D1200 cannot borrow context or caches,specified_for_future_metric_hardening_no_proof_registration,authorization_required_no_proof_registration,external research synthesis intake;Package C reflection metric hardening design;future proof-registration authorization preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
