context_id,source_id,forbidden_term,context_classification,scan_status
G2AD-FORBID-0001,G2Z-DOSSIER-0001,q_ch weighting,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0002,G2Z-DOSSIER-0001,q_ch*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0003,G2Z-DOSSIER-0001,q_ch*chi*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0004,G2Z-DOSSIER-0001,chi_selected,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0005,G2Z-DOSSIER-0001,route_score,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0006,G2Z-DOSSIER-0001,JOINT_ROUTE_CLASS,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0007,G2Z-DOSSIER-0001,JRC,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0008,G2Z-DOSSIER-0001,yield,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0009,G2Z-DOSSIER-0001,winner,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0010,G2Z-DOSSIER-0001,detection_probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0011,G2Z-DOSSIER-0001,wet pass probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0012,G2Z-DOSSIER-0001,clogging rate,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0013,G2Z-DOSSIER-0001,time-to-clog,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0014,G2Z-DOSSIER-0001,recovery,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0015,G2Z-DOSSIER-0001,fabrication release,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0016,G2Z-DOSSIER-0001,formula use,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0017,G2Z-DOSSIER-0001,grain-level ingestion,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0018,G2Z-DOSSIER-0002,q_ch weighting,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0019,G2Z-DOSSIER-0002,q_ch*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0020,G2Z-DOSSIER-0002,q_ch*chi*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0021,G2Z-DOSSIER-0002,chi_selected,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0022,G2Z-DOSSIER-0002,route_score,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0023,G2Z-DOSSIER-0002,JOINT_ROUTE_CLASS,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0024,G2Z-DOSSIER-0002,JRC,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0025,G2Z-DOSSIER-0002,yield,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0026,G2Z-DOSSIER-0002,winner,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0027,G2Z-DOSSIER-0002,detection_probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0028,G2Z-DOSSIER-0002,wet pass probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0029,G2Z-DOSSIER-0002,clogging rate,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0030,G2Z-DOSSIER-0002,time-to-clog,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0031,G2Z-DOSSIER-0002,recovery,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0032,G2Z-DOSSIER-0002,fabrication release,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0033,G2Z-DOSSIER-0002,formula use,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0034,G2Z-DOSSIER-0002,grain-level ingestion,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0035,G2Z-DOSSIER-0003,q_ch weighting,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0036,G2Z-DOSSIER-0003,q_ch*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0037,G2Z-DOSSIER-0003,q_ch*chi*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0038,G2Z-DOSSIER-0003,chi_selected,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0039,G2Z-DOSSIER-0003,route_score,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0040,G2Z-DOSSIER-0003,JOINT_ROUTE_CLASS,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0041,G2Z-DOSSIER-0003,JRC,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0042,G2Z-DOSSIER-0003,yield,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0043,G2Z-DOSSIER-0003,winner,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0044,G2Z-DOSSIER-0003,detection_probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0045,G2Z-DOSSIER-0003,wet pass probability,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0046,G2Z-DOSSIER-0003,clogging rate,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0047,G2Z-DOSSIER-0003,time-to-clog,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0048,G2Z-DOSSIER-0003,recovery,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0049,G2Z-DOSSIER-0003,fabrication release,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0050,G2Z-DOSSIER-0003,formula use,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0051,G2Z-DOSSIER-0003,grain-level ingestion,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0052,G2Z-DOSSIER-0004,q_ch weighting,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0053,G2Z-DOSSIER-0004,q_ch*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0054,G2Z-DOSSIER-0004,q_ch*chi*eta,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0055,G2Z-DOSSIER-0004,chi_selected,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
G2AD-FORBID-0056,G2Z-DOSSIER-0004,route_score,BLOCKED_OR_FIXTURE_CONTEXT_ALLOWED,PASS_ALLOWED_BLOCKED_CONTEXT
