reviewer_id,focus,finding,required_fix_before_pass
G17K-REVIEW-01,git cleanliness,PASS_NO_P0_P1,none
G17K-REVIEW-02,chronology accuracy,PASS_NO_P0_P1,none
G17K-REVIEW-03,self-reference policy,PASS_NO_P0_P1,none
G17K-REVIEW-04,semantic digest,PASS_NO_P0_P1,none
G17K-REVIEW-05,COMSOL Gate15 receipt,PASS_NO_P0_P1,none
G17K-REVIEW-06,stale-loop diagnosis,PASS_NO_P0_P1,none
G17K-REVIEW-07,static preflight state machine,PASS_NO_P0_P1,none
G17K-REVIEW-08,Package A boundary,PASS_NO_P0_P1,none
G17K-REVIEW-09,Package B boundary,PASS_NO_P0_P1,none
G17K-REVIEW-10,Package C boundary,PASS_NO_P0_P1,none
G17K-REVIEW-11,Package D boundary,PASS_NO_P0_P1,none
G17K-REVIEW-12,mutation strength,PASS_NO_P0_P1,none
G17K-REVIEW-13,no-auth leakage,PASS_NO_P0_P1,none
G17K-REVIEW-14,EDGE/QCH/BINDING locks,PASS_NO_P0_P1,none
G17K-REVIEW-15,test coverage,PASS_NO_P0_P1,none
G17K-REVIEW-16,manifest/SHA stability,PASS_NO_P0_P1,none
G17K-REVIEW-17,Git scope,PASS_NO_P0_P1,none
G17K-REVIEW-18,COMSOL instruction clarity,PASS_NO_P0_P1,none
