artifact_id,artifact_role,disposition,candidate_status,proof_status,key_values,next_action,claim_boundary,allowed_use,blocked_use
PACKAGE_C_METRIC_HARDENING_CONSOLIDATION_20260701,metric_hardening_consolidation,NODI_PACKAGE_C_METRIC_HARDENING_CONSOLIDATED_CANDIDATE_READY_NO_PROOF_REGISTRATION,consolidated_candidate_ready,superseded_by_timeseries_substep_threshold_packets_still_not_proof_registered,evidence_index_rows=10;readiness_criteria_rows=9;algorithmic_pileup_signal_rows=0,use_as_metric_hardening_entrypoint_not_proof,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_TIMESERIES_ESS_CANDIDATE_20260701,timeseries_ess_candidate,NODI_PACKAGE_C_TIMESERIES_ESS_CANDIDATE_READY_NO_PROOF_REGISTRATION,candidate_artifact_complete_not_proof,timeseries_ess_gap_reduced_but_not_proof_registered,min_ess=46.559312675;max_u_l1=0.284598214;max_x_l1=0.108537946,proof_level_stationarity_and_ess_method_needed,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_STATIONARITY_ENSEMBLE_REFINEMENT_20260701,stationarity_ensemble_refinement,NODI_PACKAGE_C_STATIONARITY_ENSEMBLE_REFINEMENT_CANDIDATE_READY_NO_PROOF_REGISTRATION,candidate_numeric_stationarity_lines_met_not_proof_registered,stationarity_ess_and_u_x_uniformity_gaps_reduced_by_independent_ensemble_candidate,min_independent_ess=32768.0;max_final_u_l1=0.0217651367188;max_final_x_l1=0.0203979492187;total_samples=589824,use_as_stationarity_gap_reduction_candidate_not_proof,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_ONE_WALL_WALL_PILEUP_REFINEMENT_20260701,one_wall_wall_pileup_refinement,NODI_PACKAGE_C_ONE_WALL_WALL_PILEUP_REFINEMENT_CANDIDATE_READY_NO_PROOF_REGISTRATION,candidate_numeric_thresholds_met_not_proof_registered,one_wall_and_wall_pileup_proof_threshold_gaps_reduced_by_expanded_sampling_candidate,max_one_wall_ks=0.005281493;max_wall_pileup_ratio=1.072659525;max_wall_pileup_ci95_high=1.214998175;sample_count=65536,use_as_one_wall_wall_pileup_threshold_reduction_candidate_not_proof,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_NEAR_BOUNDARY_EXPECTED_BAND_METHOD_20260701,near_boundary_expected_band_method,NODI_PACKAGE_C_NEAR_BOUNDARY_EXPECTED_BAND_METHOD_CANDIDATE_READY_NO_PROOF_REGISTRATION,candidate_method_bound_not_proof_registered,near_boundary_expected_band_method_bound_as_candidate_no_proof_registration,max_abs_z=2.049081656;z_hard_line=3.0;expected_band_rows=24;legacy_sparse_context_rows=1,use_as_near_boundary_method_binding_candidate_not_proof,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_SUBSTEP_FAIL_POLICY_HARDENING_20260701,substep_fail_policy_hardening,NODI_PACKAGE_C_SUBSTEP_FAIL_POLICY_HARDENING_CANDIDATE_READY_NO_PROOF_REGISTRATION,package_c_proof_pass_requires_substep_policy_fields,future_package_c_proof_pass_hard_fails_without_substep_policy_evidence,triggered_rows=6;bound_trigger_count=6;scope=proof_guard_only_not_runtime_config,future_proof_pass_must_bind_substep_policy_evidence_sha,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_SUBSTEP_DT_REFINEMENT_REQUIREMENTS_20260701,substep_dt_refinement_requirements,NODI_PACKAGE_C_SUBSTEP_DT_REFINEMENT_REQUIREMENTS_CANDIDATE_READY_NO_PROOF_REGISTRATION,requirements_complete_not_runtime_policy_not_proof,substep_review_rows_now_have_explicit_dt_refinement_requirements,max_required_substeps=526;min_required_dt_s=4.75285171103e-08;max_projected_trigger=0.999601207629,manual_runtime_cost_review_before_any_substep_runtime_policy,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_20260701,runtime_substep_policy_design,NODI_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_CANDIDATE_READY_NO_RUNTIME_AUTHORIZATION,policy_design_bound_not_runtime_authorized,runtime_policy_gap_converted_to_design_bound_authorization_blocker,max_required_substeps=526;prohibitive_rows=1;runtime_policy_auth=missing_not_authorized,manual_authorization_and_substep_runtime_tests_before_activation,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_AUTHORIZATION_PREFLIGHT_20260701,authorization_preflight,NODI_PACKAGE_C_AUTHORIZATION_PREFLIGHT_CANDIDATE_READY_NO_AUTHORIZATION,candidate_commit_identified_authorization_missing_no_proof_registration,missing_fail_closed,target_commit=9586f8fc27d80d54b5887dc4ca59560476a86b97;head_matches_origin=True;ledger_status=missing_fail_closed,manual_authorization_ledger_required_before_proof_or_runtime,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
PACKAGE_C_PROOF_THRESHOLD_TABLE_20260701,proof_threshold_table,NODI_PACKAGE_C_PROOF_THRESHOLD_TABLE_CANDIDATE_READY_NO_PROOF_REGISTRATION,candidate_threshold_table_ready_not_proof_registered,numeric_method_and_runtime_policy_candidate_lines_bound_to_authorization_gaps,threshold_rows=16;proof_gap_rows=0;runtime_policy_gap_rows=4,use_threshold_rows_to_drive_future_external_research_or_authorization,proof_readiness_index_candidate_not_package_c_proof_registered_not_runtime,Package C proof-readiness index;single entrypoint for candidate evidence;external AI context;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
