dry_run_id,source_side,source_row_id,row_kind,workstream,disposition,reason,required_next_gate,allowed_use,blocked_use,human_review_required,future_authorization_required,evidence_accepted,gate2d_ledger_expansion
G3C-TRIAL-0001,COMSOL,G2AA-TRIAL-0001,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0002,COMSOL,G2AA-TRIAL-0002,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0003,COMSOL,G2AA-TRIAL-0003,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0004,COMSOL,G2AA-TRIAL-0004,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0005,COMSOL,G2AA-TRIAL-0005,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0006,COMSOL,G2AA-TRIAL-0006,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0007,COMSOL,G2AA-TRIAL-0007,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0008,COMSOL,G2AA-TRIAL-0008,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0009,COMSOL,G2AA-TRIAL-0009,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0010,COMSOL,G2AA-TRIAL-0010,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
G3C-TRIAL-0011,COMSOL,G2AA-TRIAL-0011,closure_trial,EDGE,REJECT_BLOCKED,row is blocked or fail-closed under current receiver policy,Gate3_QCH_FORMAL_SIDECAR_PREAUTH_REVIEW,blocker tracking only,evidence acceptance; policy approval; formula; production/runtime,true,true,false,false
