register_row_id,candidate_type,source_artifact,route_key,diameter_nm,NODI_view,bin_basis,alignment_status,required_next_gate,reason
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D1200,220,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D1200,220,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D1200,300,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D1200,300,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D900,220,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D900,220,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-SOURCE-001,COMSOL transported-position context candidate,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,660/W800/D900,300,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D1200,220,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D1200,220,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D1200,300,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL context has route/diameter context but no NODI_view grain.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D1200,300,UNBOUND,edge_norm_1d_edge4_context,BLOCKED_MISSING_PRS_ROUTE_DIAMETER_GRAIN,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL route/diameter context is absent from current PRS.
G2CTX-TPD-ALIGN-002,COMSOL transported-position context candidate,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,660/W800/D900,220,UNBOUND,edge_norm_1d_edge4_context,REVIEW_ONLY_MISSING_NODI_VIEW_BINDING,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,COMSOL context has route/diameter context but no NODI_view grain.
