preflight_id,required_field,required_before_any_proof_registry_update,required_value,current_status,can_register_proof_now,can_mark_package_c_pass_now,allowed_use,blocked_use
G32-AUTH-PREFLIGHT-001,external_review_verdict,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-002,external_review_artifact_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-003,external_review_confirms_no_claim_promotion,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-004,reviewed_candidate_manifest_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-005,reviewed_summary_metrics_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-006,reviewed_raw_metrics_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-007,reviewed_commit_sha,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-008,authorization_supersedes_no_auth_ledger_id,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-009,authorization_supersedes_no_auth_ledger_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G32-AUTH-PREFLIGHT-010,manual_authorization_record_sha256,true,nonempty_reviewed_sha_or_true,pending_external_review_and_manual_authorization,false,false,external AI research synthesis handoff;Gate30/31 candidate review intake;future authorization-supersession preflight;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
