synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,route_id_role,windows_evaluated_json,canonical_window_id,canonical_window_present,canonical_window_mass_surrogate,leading_mass_window_context,leading_mass_minus_canonical,leading_peak_contribution_window_context,leading_peak_contribution_minus_canonical,leading_snr_contribution_window_context,leading_snr_contribution_minus_canonical,annulus_context_after_weighting,interference_context_after_weighting,dimension_context_after_weighting,window_summary_json
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D1200-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.18932054504986162,0p4_0p7,0.10035090778708233,0p4_0p7,41.95887698411185,0p4_0p7,79163.72677027478,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 120.07395386420185, ""snr_contribution"": 224906.61562627714, ""selected_annulus_fraction_contribution"": 0.08242132333952516}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 78.11507688009, ""snr_contribution"": 145742.88885600236, ""selected_annulus_fraction_contribution"": 0.079317529027393}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 51.28578096687051, ""snr_contribution"": 97365.65496586428, ""selected_annulus_fraction_contribution"": 0.05685338564096926}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D1200-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.29697135860622065,0p4_0p7,0.05240118745802741,0p4_0p7,23.039090280327287,0p4_0p7,44046.22804374798,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 147.93508958403203, ""snr_contribution"": 277170.24348449934, ""selected_annulus_fraction_contribution"": 0.09914531852754006}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 124.89599930370474, ""snr_contribution"": 233124.01544075136, ""selected_annulus_fraction_contribution"": 0.12428564622463668}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 92.5428431052514, ""snr_contribution"": 175733.3354854416, ""selected_annulus_fraction_contribution"": 0.10146532483540381}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D1200-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.30000000000000004,0p5_0p8,0.0,0p4_0p7,0.026458335197759197,0p6_0p9,4219.095317877771,canonical_window_retained,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 127.48120369960427, ""snr_contribution"": 238859.03314739934, ""selected_annulus_fraction_contribution"": 0.08509615384615382}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.4547453644065, ""snr_contribution"": 237953.27119724033, ""selected_annulus_fraction_contribution"": 0.12548076923076926}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 127.47687107442859, ""snr_contribution"": 242172.3665151181, ""selected_annulus_fraction_contribution"": 0.13701923076923078}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D900-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,distribution_weighted_context_not_route_selection,"[""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.18932054504986162,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 76.31976569955764, ""snr_contribution"": 147928.8060216963, ""selected_annulus_fraction_contribution"": 0.07784588189279237}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 50.08446479002764, ""snr_contribution"": 92203.16391877517, ""selected_annulus_fraction_contribution"": 0.056690593484132974}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D900-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,distribution_weighted_context_not_route_selection,"[""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.29697135860622065,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 122.02062240978313, ""snr_contribution"": 236641.15359237188, ""selected_annulus_fraction_contribution"": 0.12254974195860723}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 90.37043760694117, ""snr_contribution"": 166358.5969709706, ""selected_annulus_fraction_contribution"": 0.10127742938886598}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W500_D900-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,distribution_weighted_context_not_route_selection,"[""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.30000000000000004,0p5_0p8,0.0,0p5_0p8,0.0,0p5_0p8,0.0,canonical_window_retained,canonical_response_contribution_retained,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.51784449288039, ""snr_contribution"": 241554.27322828968, ""selected_annulus_fraction_contribution"": 0.12403846153846156}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 124.47294721325578, ""snr_contribution"": 229113.86048769657, ""selected_annulus_fraction_contribution"": 0.13701923076923078}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W600_D900-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.18932054504986162,0p4_0p7,0.10035090778708233,0p4_0p7,43.16652837395712,0p4_0p7,76040.50193427812,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 123.4387960025999, ""snr_contribution"": 225853.97068001796, ""selected_annulus_fraction_contribution"": 0.11628597100886098}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 80.27226762864278, ""snr_contribution"": 149813.46874573984, ""selected_annulus_fraction_contribution"": 0.06756986564415098}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 52.72727500127186, ""snr_contribution"": 99340.23840283309, ""selected_annulus_fraction_contribution"": 0.0456889119114347}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W600_D900-comsol_residence_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.29697135860622065,0p4_0p7,0.05240118745802741,0p4_0p7,23.73366101795358,0p4_0p7,38829.273300245666,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.34937254606424806, ""peak_contribution"": 152.08490474287802, ""snr_contribution"": 278407.8922279515, ""selected_annulus_fraction_contribution"": 0.1409712565921496}, {""window_id"": ""0p5_0p8"", ""mass"": 0.29697135860622065, ""peak_contribution"": 128.35124372492444, ""snr_contribution"": 239578.61892770583, ""selected_annulus_fraction_contribution"": 0.10577151823669549}, {""window_id"": ""0p6_0p9"", ""mass"": 0.22181810606548985, ""peak_contribution"": 95.14425715437463, ""snr_contribution"": 179280.1568724923, ""selected_annulus_fraction_contribution"": 0.08141026076727097}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-404_W600_D900-uniform_edge_mass,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.30000000000000004,0p5_0p8,0.0,0p6_0p9,0.07696710513337734,0p6_0p9,2506.9616401072417,canonical_window_retained,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.29999999999999993, ""peak_contribution"": 131.0578540901088, ""snr_contribution"": 239935.57512440672, ""selected_annulus_fraction_contribution"": 0.12115384615384614}, {""window_id"": ""0p5_0p8"", ""mass"": 0.30000000000000004, ""peak_contribution"": 130.98407014586576, ""snr_contribution"": 244511.44821960697, ""selected_annulus_fraction_contribution"": 0.10673076923076924}, {""window_id"": ""0p6_0p9"", ""mass"": 0.30000000000000004, ""peak_contribution"": 131.06103725099914, ""snr_contribution"": 247018.40985971421, ""selected_annulus_fraction_contribution"": 0.10961538461538464}]"
sidewall_distribution_weighted_response_surface_v1,ROUTE-WEIGHTED-660_W500_D1500-comsol_outlet_flux_fraction,"compute a COMSOL-v4 transport-bin weighted surrogate response surface for the sidewall dimension, selected-annulus, and interference-response mainline","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",distribution_weighted_response_surface_surrogate_not_final_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,distribution_weighted_context_not_route_selection,"[""0p4_0p7"", ""0p5_0p8"", ""0p6_0p9""]",0p5_0p8,True,0.18932054504986162,0p4_0p7,0.10035090778708233,0p4_0p7,119.95421142063674,0p4_0p7,173657.39147774118,weighted_mass_context_shifts_from_canonical,noncanonical_response_contribution_exceeds_canonical,dimension_envelope_not_recomputed_in_606_full_nodi_recompute_required,"[{""window_id"": ""0p4_0p7"", ""mass"": 0.28967145283694395, ""peak_contribution"": 343.4292169617225, ""snr_contribution"": 509401.9707414973, ""selected_annulus_fraction_contribution"": 0.0883742806338044}, {""window_id"": ""0p5_0p8"", ""mass"": 0.18932054504986162, ""peak_contribution"": 223.47500554108575, ""snr_contribution"": 335744.5792637561, ""selected_annulus_fraction_contribution"": 0.07487374208935398}, {""window_id"": ""0p6_0p9"", ""mass"": 0.12418653703741979, ""peak_contribution"": 146.69927888025015, ""snr_contribution"": 214761.18845018663, ""selected_annulus_fraction_contribution"": 0.057016177797805545}]"
