queue_id,family_id,hard_fail_code,validator_entrypoint,patch_action,patch_required_before_static_fixture_execution,ready_for_gate23_fixture_execution_plan,runtime_allowed,production_allowed,claim_promotion_allowed,allowed_use,blocked_use
G22D-PATCH-001,G21B-FAMILY-001,missing_angle_convention,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-002,G21B-FAMILY-002,angle_conversion_mismatch,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-003,G21B-FAMILY-003,bare_W_top_runtime_binding,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-004,G21B-FAMILY-004,silent_bottom_clip,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-005,G21B-FAMILY-005,nonpositive_bottom_marked_open,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-006,G21B-FAMILY-006,missing_closure_policy,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-007,G21B-FAMILY-007,min_aperture_used_as_passability,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-008,G21B-FAMILY-008,measured_geometry_without_profile,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-009,G21B-FAMILY-009,source_hash_missing_for_comsol_context,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22D-PATCH-010,G21B-FAMILY-010,claim_boundary_missing,validate_geometry_descriptor_rows,KEEP_BOUND_REGRESSION_AND_PREPARE_EXECUTABLE_FIXTURE,false,true,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
