field,requirement,hard_fail_if,validator_issue_id,claim_boundary,allowed_use,blocked_use
substep_policy_evidence_sha256,must reference reviewed substep fail-or-reduce-dt policy evidence,missing_or_not_sha256,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_policy_status,must close all triggered rms/gap scenarios with fail-or-reduce-dt policy,not_all_triggered_scenarios_have_fail_or_reduce_dt_policy,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_policy_scope,"must remain proof guard only, not runtime configuration",claims_runtime_config_or_production_use,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_trigger_metric,must equal brownian_rms_step_over_surface_gap_p05,metric_is_ambiguous_or_not_rms_over_gap,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_trigger_threshold,"must be numeric and in (0, 1]",missing_non_numeric_or_greater_than_one,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_max_observed_trigger_value,must bind the max observed trigger value from reviewed evidence,missing_non_numeric_or_not_bound_to_evidence,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_triggered_scenario_count,must bind the count of scenarios whose trigger metric exceeds threshold,missing_non_integer_negative_or_zero_when_max_trigger_exceeds_threshold,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_policy_bound_trigger_count,must cover every triggered scenario before proof/pass can be accepted,missing_non_integer_negative_or_less_than_triggered_scenario_count,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_review_required,must be false for Package C proof/pass rows,true_or_not_boolean,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_runtime_policy_authorized,must be false because proof/pass does not authorize runtime policy,true_or_not_boolean,SIDEWALL-D-PRECHECK-V03,substep_fail_policy_candidate_not_package_c_proof_registered_not_runtime,Package C substep/fail policy hardening candidate;proof/pass validator design;substep evidence binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
