synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,objective_function_id,objective_version,objective_type,objective_claim_level,peak_retention_threshold,snr_retention_threshold,dimension_constraint_fields_json,candidate_envelope_W_top_nm,objective_W_top_nm,objective_delta_vs_candidate_nm,max_tested_W_top_nm,objective_width_savings_vs_max_tested_nm,peak_retention_at_objective,snr_retention_at_objective,annulus_fraction_retention_at_objective,peak_upper_edge_in_611,snr_upper_edge_in_611,dimension_policy_context_611,annulus_policy_context_611,leading_peak_window_mode,leading_snr_window_mode,canonical_annulus_window_id,width_grid_json,objective_interpretation,not_final_route_or_fabrication_decision
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D1200-comsol_outlet_flux_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",607,667,60,767,100,0.967671453612896,0.9638645486904708,0.8932942922283504,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p4_0p7,0p4_0p7,0p5_0p8,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D1200-comsol_residence_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",607,667,60,767,100,0.9677680002982672,0.969879076728108,0.9233461771901148,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p4_0p7,0p4_0p7,0p5_0p8,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D1200-uniform_edge_mass,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",607,667,60,767,100,0.9678946412244424,0.9753277255209248,0.9282051282051283,True,True,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p6_0p9,0p6_0p9,0p5_0p8,"[567, 587, 607, 627, 647, 667, 687, 707, 727, 747, 767]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D900-comsol_outlet_flux_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",580,720,140,740,20,0.993386954555073,1.0,1.0,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_retains_canonical_window,0p5_0p8,0p5_0p8,0p5_0p8,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D900-comsol_residence_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",580,720,140,740,20,0.993363784675787,1.0,1.0,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_retains_canonical_window,0p5_0p8,0p5_0p8,0p5_0p8,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W500_D900-uniform_edge_mass,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",580,720,140,740,20,0.9933180474801516,1.0,1.0,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p5_0p8,0p6_0p9,0p5_0p8,"[540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W600_D900-comsol_outlet_flux_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",680,700,20,840,140,0.9633752980046615,0.9615373815559521,0.8703726937447214,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p4_0p7,0p4_0p7,0p5_0p8,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W600_D900-comsol_residence_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",680,700,20,840,140,0.963327979435215,0.9635513346307661,0.8904387192053886,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p4_0p7,0p4_0p7,0p5_0p8,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-404_W600_D900-uniform_edge_mass,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",680,700,20,840,140,0.9632928877229772,0.9654933900103371,0.8980099502487562,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p6_0p9,0p5_0p8,0p5_0p8,"[640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
sidewall_dimension_objective_packet_v1,OBJ-DIM-660_W500_D1500-comsol_outlet_flux_fraction,derive an assumption-driven sidewall top-width envelope from the executed 608-610 response surface and 611 monotonic policy,"route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",assumption_driven_dimension_objective_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,balanced_peak_snr_95pct_min_width_v1,1.0.0,response_retention_min_width_envelope,assumption_driven_simulation_policy_not_route_winner,0.95,0.95,"{""forbidden_interpretation"": ""not winner, not route score, not production recommendation"", ""max_width_source"": ""max_tested_width_not_fabrication_cap"", ""min_width_source"": ""executed_608_609_610_response_surface"", ""objective_rule"": ""smallest tested W_top meeting peak and SNR retention thresholds""}",633,693,60,793,100,0.9537310976272101,0.9669228228985065,0.9010055506490823,True,False,monotonic_peak_response_constraint_required,sidewall_annulus_context_shifted_from_canonical,0p4_0p7,0p4_0p7,0p5_0p8,"[593, 613, 633, 653, 673, 693, 713, 733, 753, 773, 793]",smallest_width_meeting_peak_and_snr_retention_thresholds,True
