fixture_execution_id,family_id,hard_fail_code,source_package,validator_entrypoint,expected_rule_family,fixture_scope,pytest_file,pytest_marker,static_command,execution_mode,execution_status,runtime_allowed,production_allowed,claim_promotion_allowed,sidewall_numeric_output_allowed,allowed_use,blocked_use
G23B-STATIC-FIXTURE-001,G21B-FAMILY-001,missing_angle_convention,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_requires_angle_convention,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_requires_angle_convention,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-002,G21B-FAMILY-002,angle_conversion_mismatch,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_rejects_angle_conversion_mismatch,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_angle_conversion_mismatch,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-003,G21B-FAMILY-003,bare_W_top_runtime_binding,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_runtime_top_semantics_requires_runtime_aperture,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_runtime_top_semantics_requires_runtime_aperture,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-004,G21B-FAMILY-004,silent_bottom_clip,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_cross_section_geometry.py,test_trapezoid_formula_examples_preserve_unclipped_bottom_width,python -m pytest tests/test_cross_section_geometry.py -q -k test_trapezoid_formula_examples_preserve_unclipped_bottom_width,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-005,G21B-FAMILY-005,nonpositive_bottom_marked_open,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_rejects_open_status_for_nonpositive_bottom,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_open_status_for_nonpositive_bottom,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-006,G21B-FAMILY-006,missing_closure_policy,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_position_response_sidewall_v2_rejects_signature_closure_policy_mismatch,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_rejects_signature_closure_policy_mismatch,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-007,G21B-FAMILY-007,min_aperture_used_as_passability,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_rejects_min_aperture_passability_evidence,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_min_aperture_passability_evidence,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-008,G21B-FAMILY-008,measured_geometry_without_profile,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_geometry_descriptor_v2_rejects_unbacked_measured_geometry_claim,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_geometry_descriptor_v2_rejects_unbacked_measured_geometry_claim,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-009,G21B-FAMILY-009,source_hash_missing_for_comsol_context,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,test_position_response_sidewall_v2_requires_source_geometry_descriptor_sha,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k test_position_response_sidewall_v2_requires_source_geometry_descriptor_sha,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23B-STATIC-FIXTURE-010,G21B-FAMILY-010,claim_boundary_missing,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,tests/test_nodi_comsol_next_artifacts_contracts.py,claim_boundary,python -m pytest tests/test_nodi_comsol_next_artifacts_contracts.py -q -k claim_boundary,static_pytest_or_validator_function_only,PASS_STATIC_FIXTURE_EXECUTABLE_NO_RUNTIME,false,false,false,false,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
