control_id,harmonization_id,input_status,observed_status,verdict_change,authorization_promotion,control_status
G6D-NEGCTRL-0001,G6D-HARM-0001,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0002,G6D-HARM-0002,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0003,G6D-HARM-0003,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0004,G6D-HARM-0004,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0005,G6D-HARM-0005,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0006,G6D-HARM-0006,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0007,G6D-HARM-0007,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0008,G6D-HARM-0008,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0009,G6D-HARM-0009,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0010,G6D-HARM-0010,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0011,G6D-HARM-0011,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0012,G6D-HARM-0012,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0013,G6D-HARM-0013,NOT_APPROVED,NOT_APPROVED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0014,G6D-HARM-0014,ABSENT,ABSENT,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0015,G6D-HARM-0015,FAIL_CLOSED,FAIL_CLOSED,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0016,G6D-HARM-0016,blocked,blocked,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0017,G6D-HARM-0017,quarantine,quarantine,false,false,PASS_NO_VERDICT_CHANGE
G6D-NEGCTRL-0018,G6D-HARM-0018,review-only,review-only,false,false,PASS_NO_VERDICT_CHANGE
