schema_delta_id,field_or_family,field_family,change_type,nodi_responsibility,comsol_producer_expectation,allowed_use,blocked_use,auth_impact,future_gate,forbidden_positive
G14C-V3-FIELD-001,geometry_profile_source,profile_source_hash_guard,additive_or_clarifying_v3_delta,NODI producer/receiver,COMSOL must export source and hash if descriptor-derived,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-002,geometry_profile_sha256,profile_source_hash_guard,additive_or_clarifying_v3_delta,NODI receiver,COMSOL profile hash must match source descriptor hash for comsol_descriptor,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-003,source_geometry_descriptor_sha,profile_source_hash_guard,additive_or_clarifying_v3_delta,both,hash bridge to descriptor identity,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-004,runtime_top_aperture_nm,runtime_top_aperture_binding,additive_or_clarifying_v3_delta,NODI receiver,required with top_cd_bias metadata before runtime aperture can be referenced,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-005,top_cd_bias_nm,runtime_top_aperture_binding,additive_or_clarifying_v3_delta,COMSOL optional producer,metadata only; no runtime promotion,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-006,top_cd_bias_source,runtime_top_aperture_binding,additive_or_clarifying_v3_delta,COMSOL optional producer,must be explicit source metadata,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-007,measured_profile_lookup_status,measured_profile_guard,additive_or_clarifying_v3_delta,NODI receiver,blocked until loaded and validated,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-008,measured_profile_path,measured_profile_guard,additive_or_clarifying_v3_delta,COMSOL future producer,path alone never proves measured geometry,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-009,measured_profile_sha256,measured_profile_guard,additive_or_clarifying_v3_delta,COMSOL future producer,must pair with loaded/validated flags,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-010,measured_profile_loaded,measured_profile_guard,additive_or_clarifying_v3_delta,NODI receiver,must be true for measured claim,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-011,measured_profile_validated,measured_profile_guard,additive_or_clarifying_v3_delta,NODI receiver,must be true for measured claim,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-012,particle_center_support_status,sampler_support,additive_or_clarifying_v3_delta,NODI producer,review-only sampler diagnostic,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
G14C-V3-FIELD-013,nearest_wall_distance_nm,sampler_support,additive_or_clarifying_v3_delta,NODI producer,diagnostic; not wet passability,schema guard/static preflight/review-only dry-run,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true PRS/EAS sidewall numeric output;validated Brownian/flow/optical/wet physics,none_no_auth,Gate15 or explicit user-authorized pilot only,false
