rejection_id,relative_path,candidate_workstream,evidence_class_guess,rejection_status,reason_not_sufficient,required_next_gate
NODI-G2S-REJECT-0001,roadmap/COMSOL_GATE2B_NODI_CONTEXT_ONLY_SUPPORT_PACKET_20260627.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0002,roadmap/COMSOL_GATE2A_NODI_BINDING_PACKET_20260627.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0003,roadmap/COMSOL_GATE2C_BINDING_ALIGNMENT_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0004,roadmap/COMSOL_GATE2_NODI_CONTEXT_EXPORT_PACKET_20260627.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0005,roadmap/COMSOL_GATE2E_EXPANSION_WORKSTREAM_MASTER_PLAN_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0006,roadmap/COMSOL_GATE2E_MINIMAL_DELIVERABLE_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0007,roadmap/COMSOL_GATE2B_NODI_ALLOWED_CONTEXT_ROWS_20260627.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0008,roadmap/COMSOL_GATE2C_TPD_BINDING_SCHEMA_ALIGNMENT_20260628.csv,BINDING,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|row_identity,Gate2X-BINDING repair receipt
NODI-G2S-REJECT-0009,roadmap/COMSOL_GATE2G_EDGE_LOSS_ERROR_CLOSURE_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0010,roadmap/COMSOL_GATE2H_GATE2I_EDGE_CLOSURE_CONTRACT_MASTER_PACKET_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0011,roadmap/COMSOL_GATE2I_EDGE_CLOSURE_EVIDENCE_PACKAGE_TEMPLATE_20260628.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0012,roadmap/COMSOL_GATE2K_EDGE_CLOSURE_SUBMISSION_PACKAGE_TEMPLATE_V2_20260628.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0013,roadmap/NODI_REPO_LINKAGE_REVIEW_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0014,roadmap/TRANSPORTED_POSITION_SOURCE_RUNNER_AUTHORIZATION_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0015,roadmap/COMSOL_GATE2B_QCH_FORMAL_SIDECAR_REQUIREMENTS_20260627.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0016,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.md,EDGE,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0017,roadmap/COMSOL_GATE2C_NODI_BOUND_CONTEXT_EXPORT_CANDIDATE_20260628.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0018,roadmap/COMSOL_GATE2C_QCH_FORMAL_SIDECAR_FEASIBILITY_GAP_20260628.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0019,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|bin_basis|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0020,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|bin_basis|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0021,roadmap/COMSOL_GATE2G_EDGE_NODI_RECEIPT_SUPPORT_20260628.csv,EDGE,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|bin_basis|source_sha256|row_identity,Gate2X-EDGE real evidence receipt
NODI-G2S-REJECT-0022,roadmap/CLOGGING_EVENT_TREE_AND_LOCAL_Q_SCOPE_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0023,roadmap/FUTURE_NODI_PRS_EAS_TO_FINITE_SIZE_GATE_INTERFACE_20260617.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0024,roadmap/NODI_PRS_W800_MINIBATCH_EXTERNAL_AI_PROMPT_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0025,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_PACKET_20260621.md,QCH,document_or_unknown_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|diameter_nm|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0026,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,QCH,data_table_review_only,REVIEW_ONLY_NOT_POLICY_EVIDENCE,missing NODI-required binding/provenance fields: route_key|NODI_view|bin_basis|source_sha256|row_identity,Gate2X-QCH formal sidecar receipt
NODI-G2S-REJECT-0027,roadmap/COMSOL_GATE2C_QCH_FORMAL_SIDECAR_TEMPLATE_20260628.csv,QCH,template_or_synthetic_not_evidence,REVIEW_ONLY_NOT_POLICY_EVIDENCE,template_or_synthetic_not_evidence; not direct evidence,Gate2X-QCH formal sidecar receipt
