synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_route_id_nodi,weighting_mode,canonical_annulus_window_id,leading_mass_window_mode,leading_peak_window_mode,leading_snr_window_mode,peak_window_counts_json,snr_window_counts_json,mass_window_counts_json,annulus_policy_context,not_final_annulus_selection
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D1200-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_outlet_flux_fraction,0p5_0p8,0p4_0p7,0p4_0p7,0p4_0p7,"{""0p4_0p7"": 11}","{""0p4_0p7"": 11}","{""0p4_0p7"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D1200-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,comsol_residence_fraction,0p5_0p8,0p4_0p7,0p4_0p7,0p4_0p7,"{""0p4_0p7"": 11}","{""0p4_0p7"": 11}","{""0p4_0p7"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D1200-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D1200,uniform_edge_mass,0p5_0p8,0p5_0p8,0p6_0p9,0p6_0p9,"{""0p4_0p7"": 2, ""0p5_0p8"": 4, ""0p6_0p9"": 5}","{""0p4_0p7"": 3, ""0p5_0p8"": 2, ""0p6_0p9"": 6}","{""0p5_0p8"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D900-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_outlet_flux_fraction,0p5_0p8,0p5_0p8,0p5_0p8,0p5_0p8,"{""0p5_0p8"": 11}","{""0p5_0p8"": 11}","{""0p5_0p8"": 11}",sidewall_annulus_context_retains_canonical_window,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D900-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,comsol_residence_fraction,0p5_0p8,0p5_0p8,0p5_0p8,0p5_0p8,"{""0p5_0p8"": 11}","{""0p5_0p8"": 11}","{""0p5_0p8"": 11}",sidewall_annulus_context_retains_canonical_window,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W500_D900-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W500/D900,uniform_edge_mass,0p5_0p8,0p5_0p8,0p5_0p8,0p6_0p9,"{""0p5_0p8"": 6, ""0p6_0p9"": 5}","{""0p5_0p8"": 4, ""0p6_0p9"": 7}","{""0p5_0p8"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W600_D900-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_outlet_flux_fraction,0p5_0p8,0p4_0p7,0p4_0p7,0p4_0p7,"{""0p4_0p7"": 11}","{""0p4_0p7"": 11}","{""0p4_0p7"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W600_D900-comsol_residence_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,comsol_residence_fraction,0p5_0p8,0p4_0p7,0p4_0p7,0p4_0p7,"{""0p4_0p7"": 11}","{""0p4_0p7"": 11}","{""0p4_0p7"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-404_W600_D900-uniform_edge_mass,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,404/W600/D900,uniform_edge_mass,0p5_0p8,0p5_0p8,0p6_0p9,0p5_0p8,"{""0p4_0p7"": 4, ""0p5_0p8"": 2, ""0p6_0p9"": 5}","{""0p5_0p8"": 6, ""0p6_0p9"": 5}","{""0p5_0p8"": 11}",sidewall_annulus_context_shifted_from_canonical,True
sidewall_monotonic_width_policy_v1,POLICY-ANN-660_W500_D1500-comsol_outlet_flux_fraction,"summarize sidewall-induced top-width, annulus, and response-surface context after executed 608-610 width sweeps","route winner, scalar route score, exact P(x,u) probability claim, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",monotonic_width_policy_context_not_route_selection,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,660/W500/D1500,comsol_outlet_flux_fraction,0p5_0p8,0p4_0p7,0p4_0p7,0p4_0p7,"{""0p4_0p7"": 11}","{""0p4_0p7"": 11}","{""0p4_0p7"": 11}",sidewall_annulus_context_shifted_from_canonical,True
