nodi_register_row_id,comsol_gate_id,comsol_artifact,comsol_status,comsol_source_review_status,nodi_preflight_status,reconciled_status,route_key,NODI_view,diameter_nm,bin_basis,matched_prs_grain_count,blocked_grain_count,allowed_use,blocked_use,claim_boundary,required_next_gate,blocker_reason,can_enter_context_only_ingestion,can_enter_weighting,can_enter_jrc
G2CTX-TPD-SOURCE-001,G2-TPD-SOURCE-CONTEXT,roadmap/TRANSPORTED_POSITION_SOURCE_SMOKE_COMBINED_RETRY3_20260621.csv,READY_FOR_NODI_GATE2_REVIEW_CONTEXT_ONLY,COMSOL_READY_SOURCE_REVIEW_ONLY,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_RECONCILED_BLOCKED_ROUTE_DIAMETER_BIN_VIEW_MISMATCH,660/W800/D1200;660/W800/D900,UNBOUND,220;300,edge_norm_1d,0,7,read-only transported-position sidecar/source context for Gate2 review; edge_norm_1d coarse bin alignment input,weighting output; chi_selected; q_ch weighting; q_ch*eta; route_score; JOINT_ROUTE_CLASS; yield; winner; detection_probability; full-chip occupancy; fabrication_release,transport_distribution_context_only_not_detection,formal Gate2 export with NODI route/view/diameter/bin binding; no weighting,BLOCKED_NOT_WEIGHTING_AUTHORIZED for any weighted output,false,false,false
G2CTX-TPD-ALIGN-002,G2-TPD-PRS-ALIGNMENT,roadmap/TPD_TO_NODI_BRIDGE_ALIGNMENT_TABLE_20260621.csv,BLOCKED_NEEDS_NODI_PRS_INGESTION_RECHECK,BLOCKED_NEEDS_NODI_PRS_INGESTION_RECHECK,BLOCKED_ROUTE_DIAMETER_BIN_MISMATCH,NODI_RECONCILED_BLOCKED_ROUTE_DIAMETER_BIN_VIEW_MISMATCH,660/W800/D1200;660/W800/D900,UNBOUND,220;300,edge_norm_1d,0,7,coarse-to-fine edge_norm schema alignment review; no-output mapping,silent diameter/bin mapping; chi_selected; weighted PRS output; q_ch products; JRC; yield; winner,schema_compatible_alignment_only_not_scalar_chi,NODI PRS artifact ingestion recheck plus explicit context-only Gate2 acceptance,PRS production artifact not re-ingested here; TPD quarter bins require explicit PRS edge20 grouping review,false,false,false
G2CTX-QCH-MISSING-003,G2-QCH-SIDECAR,roadmap/P1B_W800_QCH_FIRST_LAUNCH_RESULTS_20260617.csv,BLOCKED_NOT_QCH_SIDECAR,BLOCKED_NOT_QCH_SIDECAR,BLOCKED_MISSING_FORMAL_GATE2_EXPORT,NODI_RECONCILED_BLOCKED_MISSING_FORMAL_QCH_FLOW_SPLIT,MISSING_QCH_FLOW_SPLIT_ROUTE_KEY,*,MISSING_QCH_FLOW_SPLIT_DIAMETER_BASIS,MISSING_QCH_FLOW_SPLIT_BIN_BASIS,0,1,"q_ch lineage, source, preflight, or descriptive W800 provenance review only",Gate2 route-level q_ch sidecar; q_ch weighting; q_ch*eta; q_ch*chi*eta; yield; winner; detection_probability; NODI production ingestion,q_ch_descriptive_provenance_only_not_transport_occupancy_not_qch_eta,COMSOL formal Gate2 q_ch/flow split export package,No Gate2 route-level q_ch/flow-split sidecar package is authorized or emitted; only lineage/preflight/descriptive context exists,false,false,false
G2CTX-CHI-AGG-004,G2-CHI-PROXY,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_AGGREGATE_20260622.csv,READY_FOR_NODI_GATE2_REVIEW_CONTEXT_ONLY,COMSOL_READY_SOURCE_REVIEW_ONLY,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,NODI_RECONCILED_CONTEXT_ONLY_CANDIDATE,660/W800/D1200;660/W800/D900,fixed_660_gold;per_wavelength_gold,220;300,not_position_binned,2,6,context proxy review only; threshold_crossing_fraction_proxy sidecar inspection,chi_selected; route_score; q_ch*eta; q_ch*chi*eta; detection_probability; yield; winner; JRC; production ingestion,context_proxy_not_chi_selected_not_detection,NODI-side Gate2 context-only review with blocked-grain disposition,context-only dry-run candidate; weighting/JRC remain blocked,true,false,false
G2CTX-CHI-BIN-005,G2-CHI-PROXY,roadmap/TPD_PRS_CHI_CONTEXT_SIDECAR_BINS_20260622.csv,READY_FOR_NODI_GATE2_REVIEW_CONTEXT_ONLY,COMSOL_READY_SOURCE_REVIEW_ONLY,GATE2_CANDIDATE_CONTEXT_ONLY_PARTIAL_GRAIN_MATCH,NODI_RECONCILED_CONTEXT_ONLY_CANDIDATE,660/W800/D1200;660/W800/D900,fixed_660_gold;per_wavelength_gold,220;300,TPD_edge4_to_PRS_edge20_group_context,2,14,context proxy review only; threshold_crossing_fraction_proxy sidecar inspection,chi_selected; route_score; q_ch*eta; q_ch*chi*eta; detection_probability; yield; winner; JRC; production ingestion,context_proxy_not_chi_selected_not_detection,explicit coarse edge4 to PRS edge20 review before any future formula use,context-only dry-run candidate; weighting/JRC remain blocked,true,false,false
G2CTX-LQ-ANCHOR-006,G2-LOCAL-Q-HYDRAULIC,roadmap/EV_PBS_ENTRANCE_LOCAL_Q_EFFECTIVE_APERTURE_LOCAL_Q_EVENT_TREE_BRIDGE_INPUT_20260623.csv,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_NOT_GATE2_INPUT,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,W500/D1000_NO_NODI_LAMBDA;W500/D1200_NO_NODI_LAMBDA;W500/D1400_NO_NODI_LAMBDA;W500/D600_NO_NODI_LAMBDA;W500/D800_NO_NODI_LAMBDA;W500/D900_NO_NODI_LAMBDA;W600/D1000_NO_NODI_LAMBDA;W600/D1200_NO_NODI_LAMBDA;W600/D1400_NO_NODI_LAMBDA;W600/D600_NO_NODI_LAMBDA;W600/D800_NO_NODI_LAMBDA;W600/D900_NO_NODI_LAMBDA;W800/D1000_NO_NODI_LAMBDA;W800/D1200_NO_NODI_LAMBDA;W800/D1400_NO_NODI_LAMBDA;W800/D900_NO_NODI_LAMBDA,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,0,1,"event-tree/hydraulic review context using q_mean, resistance, velocity, aperture category, defect length",NODI Gate2 scalar input; calibrated clogging; time-to-clog; recovery; yield; winner; detection_probability; true W_eff; PEG wet passivation,smooth_wall_effective_aperture_local_direct_cell_hydraulic_evidence_only,separate local-Q/NODI binding review if hydraulic context is needed,"Hydraulic anchor only; particle access, wet surface chemistry, and calibrated event data remain separate",false,false,false
G2CTX-LQ-SCREEN-007,G2-LOCAL-Q-HYDRAULIC,roadmap/EV_PBS_LOCAL_Q_EVENT_TREE_BRIDGE_SCREENING_RESULTS_20260623.csv,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_NOT_GATE2_INPUT,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,UNBOUND_REVIEW_ONLY,UNBOUND_REVIEW_ONLY,effective_aperture_category_not_particle_diameter,blocked_220nm;open_300nm_control;transition_220_300nm,0,1,"screening, formula review, and branch-envelope review context",calibrated event-tree result; time-to-clog; no-clogging; recovery; route winner; NODI production scalar; JRC,screening_or_branch_review_only_not_calibrated_result,calibrated event-data gate before any event-tree result claim,Screening/review only; calibrated event data and physics-contract gates absent,false,false,false
G2CTX-LQ-BRANCH-008,G2-LOCAL-Q-HYDRAULIC,roadmap/EV_PBS_LOCAL_Q_BRANCH_ENVELOPE_REVIEW_GATE_BRANCH_DECISIONS_20260624.csv,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_LOCAL_Q_CONTEXT,REVIEW_ONLY_NOT_GATE2_INPUT,NODI_RECONCILED_REVIEW_ONLY_NOT_GATE2_INPUT,UNBOUND_REVIEW_ONLY,UNBOUND_REVIEW_ONLY,not_diameter_binned,not_position_binned,0,1,"screening, formula review, and branch-envelope review context",calibrated event-tree result; time-to-clog; no-clogging; recovery; route winner; NODI production scalar; JRC,screening_or_branch_review_only_not_calibrated_result,separate physics-contract gate before default event-tree use,Screening/review only; calibrated event data and physics-contract gates absent,false,false,false
G2CTX-V4-CONTRACT-009,G2-V4-NODI-REVIEW,roadmap/EV_PBS_SAMPLE_SURFACE_CANONICAL_CONTRACT_V4_20260627.json,REVIEW_ONLY_V4_CONTEXT,REVIEW_ONLY_V4_CONTEXT,REVIEW_ONLY_NOT_GATE2_INPUT,NODI_RECONCILED_V4_REVIEW_ONLY,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,UNBOUND_REVIEW_ONLY,not_diameter_binned,not_position_binned,0,1,V4-bound read-only review context; descriptor/watch/sensitivity/preflight language only,NODI runtime configuration; NODI production ingestion; count prediction; optical update; COMSOL launch; MPH load; wet pass probability; calibrated event rate; time-to-clog; recovery; yield; winner,v4_descriptor_only_review_only_not_project_measurement_or_calibration,V4-bound Gate2 review package with all production flags false,Needs a new V4-bound ingestion gate before any NODI runtime or production use,false,false,false
G2CTX-V4-SIDECAR-010,G2-V4-NODI-REVIEW,roadmap/EV_PBS_V4_NON_NANO_NODI_REVIEW_CONTEXT_SIDECAR_ROWS_20260627.csv,REVIEW_ONLY_V4_CONTEXT,REVIEW_ONLY_V4_CONTEXT,REVIEW_ONLY_NOT_GATE2_INPUT,NODI_RECONCILED_V4_REVIEW_ONLY,V4_REVIEW_CONTEXT_UNBOUND_TO_NODI_ROUTE,UNBOUND_REVIEW_ONLY,not_diameter_binned,direct_lodge_delta;interaction_detachment;interaction_hydraulic;interaction_stack;interaction_wall_deposit;scenario_delta_summary,0,1,V4-bound read-only review context; descriptor/watch/sensitivity/preflight language only,NODI runtime configuration; NODI production ingestion; count prediction; optical update; COMSOL launch; MPH load; wet pass probability; calibrated event rate; time-to-clog; recovery; yield; winner,v4_descriptor_only_review_only_not_project_measurement_or_calibration,"separate V4 production-ingestion authorization, currently blocked",Needs a new V4-bound ingestion gate before any NODI runtime or production use,false,false,false
