schema_field_id,field_group,field_name,required_before_package_c_pass,implementation_authorized,runtime_allowed,purpose,allowed_now,allowed_use,blocked_use
G26D-SCHEMA-001,brownian_reflection,brownian_boundary_target_model,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-002,brownian_reflection,brownian_boundary_numerical_scheme,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-003,brownian_reflection,brownian_boundary_claim_level,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-004,brownian_reflection,not_ballistic_specular_collision_claim,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-005,brownian_reflection,projection_boundary_surrogate_used,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-006,brownian_reflection,reflection_update_rule_id,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-007,brownian_reflection,wall_constraint_formula_id,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-008,brownian_reflection,active_wall_set,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-009,brownian_reflection,active_wall_count,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26D-SCHEMA-010,brownian_reflection,corner_handling_model,true,false,false,Package C brownian_reflection design and validation guard,design_requirement_only,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
