crosswalk_id,nodi_field_or_section,nodi_requirement_level,comsol_field_candidates,comsol_fields_present,crosswalk_status,adapter_required,blocking_mismatch,authorization_default_false_required,allowed_use,blocked_use
NODI-G2J-FIELD-XWALK-001,edge20_resolved_reference_rows,required,evidence_row_id|edge20_bin_id|edge20_reference_value|edge20_reference_units,evidence_row_id|edge20_bin_id|edge20_reference_value|edge20_reference_units,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-002,edge4_aggregate_rows,required,edge4_bin_label|edge4_aggregate_value|aggregation_rule,edge4_bin_label|edge4_aggregate_value|aggregation_rule,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-003,numeric_aggregation_error_bound,required,numeric_error_value|error_bound_lower|error_bound_upper,numeric_error_value|error_bound_lower|error_bound_upper,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-004,numeric_error_bound_units,required,numeric_error_units,numeric_error_units,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-005,monotonicity_check_input,required,monotonicity_metric|monotonicity_direction,monotonicity_metric|monotonicity_direction,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-006,monotonicity_check_output,required,monotonicity_metric|monotonicity_allowed_exceptions,monotonicity_metric|monotonicity_allowed_exceptions,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-007,conservativeness_check_input,required,conservativeness_metric|conservativeness_rule,conservativeness_metric|conservativeness_rule,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-008,conservativeness_check_output,required,conservativeness_metric,conservativeness_metric,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-009,reproducibility_evidence,required,reproducibility_group_id|source_sha256|row_identity,reproducibility_group_id|source_sha256|row_identity,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-010,route_view_diameter_bin_binding,exact,route_key|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|edge20_bin_id|edge20_definition_hash,route_key|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|edge20_bin_id|edge20_definition_hash,ADAPTER_REQUIRED,true,false,false,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
NODI-G2J-FIELD-XWALK-011,authorization_request_flags,required_false_default,authorization_request_flags,,MISSING_ON_COMSOL_SIDE,false,false,true,contract validator field mapping only,formula use; direct PRS edge20 bin use; grain-level ingestion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production ingestion; runtime configuration
