gate_id,future_required_gate,required_before_package_c_pass,current_status,current_gate29_response,can_register_package_c_proof_now,can_emit_runtime_now,can_emit_numeric_prs_eas_now,allowed_use,blocked_use
G29-HARD-GATE-001,package_C_proof_artifact_registered,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-002,proof_registration_authorized,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-003,implementation_commit_sha,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-004,required_test_result_artifact_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-005,dt_convergence_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-006,equilibrium_uniformity_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-007,no_boundary_atom_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-008,corner_active_set_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-009,angle_depth_mutation_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-010,rectangle_limit_evidence_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G29-HARD-GATE-011,external_review_artifact_sha256,true,missing_or_not_authorized_no_proof_registration,hard_fail_future_registration,false,false,false,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
