evidence_state_row_id,state_version,route_candidate_id,route_geometry_family,evidence_lane,evidence_class,source_artifact_id,source_disposition,evidence_rows,accepted_claim_evidence_rows,may_satisfy_route_formula_now,may_satisfy_yield_now,may_satisfy_detection_now,current_state,hard_fail_if,claim_boundary
ROUTE-EVIDENCE-STATE-ROUTE-CAND-001-q_ch_route_input,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-001,ideal_rectangle,q_ch_route_input,ready_route_input,PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_20260701,,1,0,False,False,False,unchanged_from_562_register,q_ch_route_input_promoted_to_route_score_without_formula_packet,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-001-detector_blank_transfer,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-001,ideal_rectangle,detector_blank_transfer,fixture_or_context_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_20260701,,36,0,False,False,False,unchanged_from_562_register,fixture_or_context_detector_rows_satisfy_detection_or_route_score,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-001-wet_observation,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-001,ideal_rectangle,wet_observation,fixture_or_contract_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_20260701,,64,0,False,False,False,unchanged_from_562_register,fixture_or_contract_wet_rows_satisfy_yield_or_wet_pass,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-001-electrokinetic_profile_grid,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-001,ideal_rectangle,electrokinetic_profile_grid,candidate,PACKAGE_C_SIDEWALL_ELECTROKINETIC_PROFILE_GRID_CANDIDATE_20260701,NODI_PACKAGE_C_SIDEWALL_ELECTROKINETIC_PROFILE_GRID_CANDIDATE_READY_NOT_SOLVER,5,0,False,False,False,profile_grid_candidate_available_not_route_weight,electrokinetic_preflight_used_as_route_or_detection_claim,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-001-comsol_target_binding,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-001,ideal_rectangle,comsol_target_binding,precondition_only,PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_20260701,,5,0,False,False,False,unchanged_from_562_register,comsol_precondition_used_as_solver_or_route_claim,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-002-q_ch_route_input,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,q_ch_route_input,ready_route_input,PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_20260701,,1,0,False,False,False,unchanged_from_562_register,q_ch_route_input_promoted_to_route_score_without_formula_packet,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-002-detector_blank_transfer,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,detector_blank_transfer,fixture_or_context_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_20260701,,36,0,False,False,False,unchanged_from_562_register,fixture_or_context_detector_rows_satisfy_detection_or_route_score,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-002-wet_observation,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,wet_observation,fixture_or_contract_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_20260701,,64,0,False,False,False,unchanged_from_562_register,fixture_or_contract_wet_rows_satisfy_yield_or_wet_pass,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-002-electrokinetic_profile_grid,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,electrokinetic_profile_grid,candidate,PACKAGE_C_SIDEWALL_ELECTROKINETIC_PROFILE_GRID_CANDIDATE_20260701,NODI_PACKAGE_C_SIDEWALL_ELECTROKINETIC_PROFILE_GRID_CANDIDATE_READY_NOT_SOLVER,5,0,False,False,False,profile_grid_candidate_available_not_route_weight,electrokinetic_preflight_used_as_route_or_detection_claim,mainline_state_update_candidate_evidence_not_route_yield_detection
ROUTE-EVIDENCE-STATE-ROUTE-CAND-002-comsol_target_binding,sidewall_mainline_execution_state_update_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,comsol_target_binding,precondition_only,PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_20260701,,5,0,False,False,False,unchanged_from_562_register,comsol_precondition_used_as_solver_or_route_claim,mainline_state_update_candidate_evidence_not_route_yield_detection
