binding_id,family_id,hard_fail_code,source_package,target_gate,validator_entrypoint,expected_rule_family,fixture_scope,binding_status,runtime_allowed,production_allowed,claim_promotion_allowed,allowed_use,blocked_use
G22B-BINDING-001,G21B-FAMILY-001,missing_angle_convention,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-002,G21B-FAMILY-002,angle_conversion_mismatch,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-003,G21B-FAMILY-003,bare_W_top_runtime_binding,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-004,G21B-FAMILY-004,silent_bottom_clip,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-005,G21B-FAMILY-005,nonpositive_bottom_marked_open,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-006,G21B-FAMILY-006,missing_closure_policy,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-007,G21B-FAMILY-007,min_aperture_used_as_passability,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-008,G21B-FAMILY-008,measured_geometry_without_profile,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-009,G21B-FAMILY-009,source_hash_missing_for_comsol_context,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G22B-BINDING-010,G21B-FAMILY-010,claim_boundary_missing,Package A,Package A,validate_geometry_descriptor_rows,GEOMETRY-DESCRIPTOR-V2,descriptor_or_schema_row,PASS_CALLABLE_STATIC_BINDING,false,false,false,review-only Gate21-to-Gate22 validator binding matrix;contract patch queue;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
