dossier_id,artifact_id,path,sha256,row_count,columns,sample_row_count_read,sample_row_policy,workstream,candidate_claim,required_fields_present,missing_required_fields,units_status,normalization_status,route_view_diameter_bin_binding_status,source_sha_provenance_status,row_identity_status,hash_stability_status,can_close_existing_work_order,can_close_reason,blocked_use,required_next_gate
G2Z-DOSSIER-0001,NODI-G2Y-CENSUS-0013,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.md,f9ab3319ca3f9e0e9a4a16dafa2d96812216d35570fef3b230742be5e5a1fbc9,0,,0,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|edge20_bin_id|edge4_bin_label|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0002,NODI-G2Y-CENSUS-0014,roadmap/COMSOL_GATE2F_EDGE4_EDGE20_REVIEW_EVIDENCE_CANDIDATE_20260628.csv,5b2cbc6faf60d8992065e2e369890c1f911ec8e33c8e152bb545dbd4781ff6a1,16,gate2f_edge_evidence_id|source_edge_skeleton_row_id|source_edge4_artifact|source_sha256|source_row_identity|route_key_candidate|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|nodi_edge20_definition_hash|proposed_edge20_group_id|proposed_edge20_bins_covered|grouping_basis|candidate_status|direct_prs_bin_use_authorized|formula_use_authorized|grain_level_ingestion_authorized|accepted_row_expansion_authorized|exact_prs_match_claim_by_comsol|allowed_use|blocked_use|required_next_gate,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",source_sha256|NODI_view|diameter_nm|edge4_bin_label,row_identity|route_key|bin_basis|edge20_bin_id|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0003,NODI-G2Y-CENSUS-0015,roadmap/COMSOL_GATE2G_EDGE4_EDGE20_STRUCTURAL_COVERAGE_PROOF_20260628.csv,b2669790e6915a6a10ec26a91057911f66d6eb0fb5a2841b2e1f47df254e492f,16,structural_coverage_proof_id|source_gate2f_edge_evidence_id|source_edge_skeleton_row_id|source_edge4_artifact|source_sha256|source_row_identity|route_key_candidate|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|edge4_min|edge4_max|edge20_definition_hash|proposed_edge20_bins_covered|edge20_bin_count|coverage_complete|coverage_contiguous|coverage_nonoverlap_claim_scope|structural_proof_status|structural_proof_boundary|direct_prs_bin_use_authorized|formula_use_authorized|grain_level_ingestion_authorized|accepted_row_expansion_authorized|production_ingestion_authorized|runtime_configuration_authorized|allowed_use|blocked_use|required_next_gate,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",source_sha256|NODI_view|diameter_nm|edge4_bin_label,row_identity|route_key|bin_basis|edge20_bin_id|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0004,NODI-G2Y-CENSUS-0016,roadmap/COMSOL_GATE2G_EDGE_NODI_RECEIPT_SUPPORT_20260628.csv,57996931a20e531ae621fda8d4928dae4ab83f0502116deb66d2876c85b8f024,16,nodi_receipt_support_id|source_gate2f_edge_evidence_id|structural_coverage_proof_id|loss_error_requirement_set_id|source_edge_skeleton_row_id|route_key_candidate|NODI_view|diameter_nm|tpd_proxy_aggregation_basis|edge4_bin_label|edge20_definition_hash|proposed_edge20_bins_covered|coverage_complete|coverage_contiguous|loss_error_policy_approval_status|nodi_expected_verdict|mismatch_blocker_if_any|required_nodi_next_gate|direct_prs_bin_use_authorized|formula_use_authorized|grain_level_ingestion_authorized|accepted_row_expansion_authorized|production_ingestion_authorized|runtime_configuration_authorized|allowed_use|blocked_use,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",NODI_view|diameter_nm|edge4_bin_label,source_sha256|row_identity|route_key|bin_basis|edge20_bin_id|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,MISSING_OR_NOT_EXPLICIT,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0005,NODI-G2Y-CENSUS-0020,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_SKELETON_20260628.csv,287ea01ed8ec6368f677398b72f4e73332994157200b268b832b61df5443a984,16,edge_deliverable_row_id|source_edge4_artifact|source_sha256|source_row_identity|route_key_candidate|NODI_view|diameter_nm|edge4_bin_label|proposed_edge20_group_id_or_pending|requires_nodi_edge20_definition_hash|requires_loss_error_semantics|requires_conservativeness_check|requires_monotonicity_check|direct_prs_bin_use_authorized|formula_use_authorized|grain_level_ingestion_authorized|allowed_use|blocked_use|required_next_gate,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",source_sha256|NODI_view|diameter_nm|edge4_bin_label,row_identity|route_key|bin_basis|edge20_bin_id|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,IMPLICIT_HINT_PRESENT_NOT_ACCEPTED,PRESENT_REVIEW_REQUIRED,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0006,NODI-G2Y-CENSUS-0021,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_POLICY_REVIEW_PACKET_20260628.md,57ea0b3bfd3a11d614b757c41374a20dca568cd5a224ee2ee6d47c4aff5f6482,0,,0,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|edge20_bin_id|edge4_bin_label|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0007,NODI-G2Y-CENSUS-0022,roadmap/COMSOL_GATE2P_EDGE_SYNTHETIC_SCHEMA_PACKAGE_20260628.csv,b8c8b183f21e387138e591fb835a40060d9d71dcb215e9b63721c7678cb33162,20,synthetic_row_id|synthetic_fixture_status|template_only|not_evidence|route_key|NODI_view|diameter_nm|edge4_bin_label|edge20_bin_id|edge20_definition_hash|numeric_error_value|error_bound_lower|error_bound_upper|formula_use_authorized|direct_prs_bin_use_authorized|grain_level_ingestion_authorized|accepted_row_expansion_authorized|allowed_use|blocked_use,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",route_key|NODI_view|diameter_nm|edge20_bin_id|edge4_bin_label,source_sha256|row_identity|bin_basis|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0008,NODI-G2Y-CENSUS-0029,roadmap/COMSOL_GATE2C_EDGE4_EDGE20_POLICY_CANDIDATE_20260628.csv,e8e72720ad3f4102ff421d4a79c862e57cd3cbe6e4dcd90fe1033ae10b56296b,4,policy_row_id|tpd_edge4_bin_label|tpd_edge_norm_min|tpd_edge_norm_max|candidate_prs_edge20_ids|candidate_prs_edge20_start_1based|candidate_prs_edge20_end_1based|policy_status|why_not_direct_prs_bin|required_nodi_checks_to_upgrade|grain_level_ingestion_authorized|formula_use_authorized|exact_claim_made_by_comsol|blocked_use,3,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|edge20_bin_id|edge4_bin_label|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,PRESENT_REVIEW_REQUIRED,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0009,NODI-G2Y-CENSUS-0030,roadmap/COMSOL_GATE2H_EDGE_EXISTING_EVIDENCE_AVAILABILITY_PACKET_20260628.md,d17329deef0eafc018d613b7db1894f75e783c14a77ea41a1e55452bc87e59cc,0,,0,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|edge20_bin_id|edge4_bin_label|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
G2Z-DOSSIER-0010,NODI-G2Y-CENSUS-0044,roadmap/COMSOL_GATE2E_EDGE4_EDGE20_MINIMAL_DELIVERABLE_PACKET_20260628.md,17350fecacb3b319817ff8fe9a7a777d6f0f4374b7330334b8ce18fe55bb67a1,0,,0,bounded_first_3_rows_not_evidence,EDGE,"edge4-to-edge20 candidate context, policy not approved",,source_sha256|row_identity|route_key|NODI_view|diameter_nm|bin_basis|edge20_bin_id|edge4_bin_label|numeric_aggregation_error_bound|error_bound_units,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,MISSING_EXPLICIT_BINDING_FAIL_CLOSED,MISSING_OR_NOT_EXPLICIT,MISSING_OR_NOT_EXPLICIT,HASH_RECORDED_NOT_POLICY_EVIDENCE,false,dossier is review-only; missing authorization-grade evidence or closure semantics,edge policy approval; direct PRS bin use; grain-level ingestion; formula use; accepted row expansion; q_ch weighting; q_ch*eta; q_ch*chi*eta; chi_selected; route_score; JOINT_ROUTE_CLASS/JRC; yield; winner; detection_probability; wet pass probability; clogging rate; time-to-clog; recovery; fabrication release; production_ingestion; runtime_configuration,Gate2H_OR_FUTURE_EDGE_NUMERIC_LOSS_ERROR_CLOSURE
