family_id,source_validator_id,package,hard_fail_code,trigger_condition,enforcement_surface,negative_fixture_required,expected_result,runtime_allowed,production_allowed,claim_promotion_allowed,allowed_use,blocked_use
G21B-FAMILY-001,G20C-HARDFAIL-001,Package A,missing_angle_convention,sidewall angle field present without convention,tests/test_nodi_comsol_next_artifacts_contracts.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-002,G20C-HARDFAIL-002,Package A,angle_conversion_mismatch,COMSOL and NODI angle fields do not sum to 90 deg within tolerance,tests/test_cross_section_geometry.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-003,G20C-HARDFAIL-003,Package A,bare_W_top_runtime_binding,W_top or mask/top CD used as runtime aperture without semantics/source/bias,tests/test_nodi_comsol_next_artifacts_contracts.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-004,G20C-HARDFAIL-004,Package A,silent_bottom_clip,bottom width clipped before unclipped descriptor emission,tests/test_cross_section_geometry.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-005,G20C-HARDFAIL-005,Package A,nonpositive_bottom_marked_open,nonpositive unclipped bottom width marked open,tests/test_cross_section_geometry.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-006,G20C-HARDFAIL-006,Package A,missing_closure_policy,closed or clamped geometry row lacks closure policy,tests/test_cross_section_geometry.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-007,G20C-HARDFAIL-007,Package A,min_aperture_used_as_passability,descriptor min aperture is promoted to EV passability evidence,tests/test_nodi_comsol_next_artifacts_contracts.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-008,G20C-HARDFAIL-008,Package A,measured_geometry_without_profile,measured geometry claim without loaded/hashed/validated profile,tests/test_physics_core.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-009,G20C-HARDFAIL-009,Package A,source_hash_missing_for_comsol_context,COMSOL-derived descriptor/context row lacks source descriptor id or sha,tests/test_nodi_comsol_next_artifacts_contracts.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21B-FAMILY-010,G20C-HARDFAIL-010,Package A,claim_boundary_missing,artifact row lacks explicit claim boundary,tests/test_nodi_comsol_next_artifacts_contracts.py,true,FAIL_CLOSED_OR_BLOCKED_AUDIT,false,false,false,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
